Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,4.18,4.80,4.18,4.36,69300,4.36
2014-12-30,3.98,4.20,3.90,4.14,24300,4.14
2014-12-29,3.79,3.98,3.79,3.98,20900,3.98
2014-12-26,3.58,3.80,3.55,3.80,9000,3.80
2014-12-24,3.58,3.58,3.58,3.58,5000,3.58
2014-12-23,3.50,3.62,3.50,3.52,6000,3.52
2014-12-22,3.54,3.59,3.13,3.50,40500,3.50
2014-12-19,3.38,3.60,3.38,3.50,16800,3.50
2014-12-18,3.48,3.50,3.14,3.14,6200,3.14
2014-12-17,3.11,3.48,3.11,3.48,10600,3.48
2014-12-16,2.99,3.30,2.79,3.25,35400,3.25
2014-12-15,3.47,3.48,2.50,2.63,23100,2.63
2014-12-12,3.44,3.48,3.15,3.48,23300,3.48
2014-12-11,3.47,3.47,3.42,3.42,12500,3.42
2014-12-10,3.47,3.47,3.38,3.42,4000,3.42
2014-12-09,3.41,3.48,3.30,3.37,4800,3.37
2014-12-08,3.13,3.48,3.13,3.30,3100,3.30
2014-12-05,3.29,3.45,3.11,3.11,15400,3.11
2014-12-04,3.51,3.61,3.26,3.30,22100,3.30
2014-12-03,3.70,3.85,3.51,3.51,12800,3.51
2014-12-02,3.72,3.72,3.72,3.72,300,3.72
2014-12-01,3.95,3.98,3.87,3.87,6000,3.87
2014-11-28,3.85,3.89,3.85,3.88,14300,3.88
2014-11-26,3.87,3.97,3.85,3.85,4800,3.85
2014-11-25,3.88,3.95,3.86,3.90,4000,3.90
2014-11-24,3.90,3.91,3.86,3.86,5000,3.86
2014-11-21,3.91,3.91,3.71,3.87,16100,3.87
2014-11-20,3.88,3.88,3.85,3.85,400,3.85
2014-11-19,3.90,3.98,3.85,3.90,4900,3.90
2014-11-18,3.92,3.92,3.81,3.90,6100,3.90
2014-11-17,3.94,3.95,3.87,3.90,5100,3.90
2014-11-14,3.87,3.99,3.87,3.99,4400,3.99
2014-11-13,3.87,3.87,3.87,3.87,100,3.87
2014-11-12,3.90,3.99,3.89,3.89,6100,3.89
2014-11-11,3.96,3.97,3.80,3.87,12400,3.87
2014-11-10,4.03,4.03,3.96,3.96,11300,3.96
2014-11-07,4.02,4.13,4.02,4.13,2200,4.13
2014-11-06,4.14,4.18,4.12,4.18,2100,4.18
2014-11-05,4.00,4.14,4.00,4.14,6200,4.14
2014-11-04,4.00,4.26,4.00,4.04,2600,4.04
2014-11-03,3.98,4.22,3.98,4.00,5800,4.00
2014-10-31,4.20,4.24,3.98,4.00,34900,4.00
2014-10-30,4.15,4.16,4.13,4.16,3100,4.16
2014-10-29,4.19,4.19,4.15,4.15,1000,4.15
2014-10-28,4.28,4.28,4.16,4.23,3900,4.23
2014-10-27,4.27,4.27,4.18,4.26,3900,4.26
2014-10-24,4.18,4.27,4.18,4.19,8600,4.19
2014-10-23,4.17,4.22,4.17,4.22,10800,4.22
2014-10-22,4.29,4.29,4.18,4.18,4600,4.18
2014-10-21,4.23,4.32,4.20,4.23,4400,4.23
2014-10-20,4.30,4.36,4.20,4.28,31100,4.28
2014-10-17,4.36,4.36,4.31,4.31,2300,4.31
2014-10-16,4.35,4.35,4.34,4.35,4700,4.35
2014-10-15,4.30,4.35,4.30,4.32,5000,4.32
2014-10-14,4.36,4.36,4.30,4.31,4200,4.31
2014-10-13,4.31,4.32,4.31,4.31,700,4.31
2014-10-10,4.33,4.35,4.30,4.30,5300,4.30
2014-10-09,4.33,4.36,4.33,4.35,3500,4.35
2014-10-08,4.30,4.40,4.30,4.32,6100,4.32
2014-10-07,4.43,4.49,4.33,4.34,4500,4.34
2014-10-06,4.46,4.46,4.26,4.39,6000,4.39
2014-10-03,4.27,4.49,4.27,4.46,4700,4.46
2014-10-02,4.34,4.50,4.25,4.45,5200,4.45
2014-10-01,4.50,4.50,4.30,4.34,8000,4.34
2014-09-30,4.44,4.48,4.44,4.48,4000,4.48
2014-09-29,4.44,4.48,4.44,4.48,4200,4.48
2014-09-26,4.50,4.50,4.50,4.50,2900,4.50
2014-09-25,4.50,4.50,4.50,4.50,3200,4.50
2014-09-24,4.50,4.50,4.48,4.50,7000,4.50
2014-09-23,4.48,4.50,4.31,4.49,3900,4.49
2014-09-22,4.47,4.51,4.32,4.50,6800,4.50
2014-09-19,4.43,4.53,4.40,4.41,30300,4.41
2014-09-18,4.50,4.51,4.40,4.48,8000,4.48
2014-09-17,4.59,4.59,4.50,4.51,6900,4.51
2014-09-16,4.51,4.51,4.40,4.40,4100,4.40
2014-09-15,4.50,4.58,4.41,4.54,9900,4.54
2014-09-12,4.51,4.60,4.50,4.50,8000,4.50
2014-09-11,4.52,4.55,4.52,4.52,3700,4.52
2014-09-10,4.53,4.64,4.52,4.63,6500,4.63
2014-09-09,4.65,4.65,4.53,4.55,6500,4.55
2014-09-08,4.61,4.66,4.60,4.65,9800,4.65
2014-09-05,4.65,4.67,4.64,4.67,5500,4.67
2014-09-04,4.55,4.64,4.51,4.64,12200,4.64
2014-09-03,4.65,4.67,4.65,4.67,4500,4.67
2014-09-02,4.70,4.70,4.48,4.58,20800,4.58
2014-08-29,4.64,4.64,4.64,4.64,000,4.64
2014-08-28,4.64,4.64,4.64,4.64,000,4.64
2014-08-27,4.52,4.69,4.52,4.64,12800,4.64
2014-08-26,4.67,4.73,4.50,4.58,20200,4.58
2014-08-25,4.67,4.75,4.53,4.64,7000,4.64
2014-08-22,4.60,4.80,4.60,4.60,99100,4.60
2014-08-21,4.84,4.84,4.59,4.68,27500,4.68
2014-08-20,4.74,4.75,4.56,4.56,4500,4.56
2014-08-19,4.66,4.79,4.66,4.76,11300,4.76
2014-08-18,4.75,4.75,4.69,4.75,10100,4.75
2014-08-15,4.68,4.71,4.45,4.70,13800,4.70
2014-08-14,4.72,4.75,4.45,4.70,12700,4.70
2014-08-13,4.44,4.75,4.44,4.74,25300,4.74
2014-08-12,4.53,4.53,4.44,4.49,9600,4.49
2014-08-11,4.45,4.64,4.44,4.49,17100,4.49
2014-08-08,4.44,4.53,4.44,4.53,2900,4.53
2014-08-07,4.59,4.59,4.48,4.48,1100,4.48
2014-08-06,4.57,4.73,4.40,4.46,26600,4.46
2014-08-05,4.73,4.75,4.60,4.75,1500,4.75
2014-08-04,4.47,4.75,4.47,4.75,6400,4.75
2014-08-01,4.74,4.83,4.47,4.48,41700,4.48
2014-07-31,4.79,4.90,4.77,4.90,1700,4.90
2014-07-30,4.76,4.83,4.69,4.71,3300,4.71
2014-07-29,4.72,4.90,4.72,4.90,1000,4.90
2014-07-28,4.50,4.91,4.42,4.75,60300,4.75
2014-07-25,4.88,4.98,4.84,4.84,33200,4.84
2014-07-24,4.60,5.22,4.60,4.90,240100,4.90
2014-07-23,4.35,4.60,4.30,4.35,5900,4.35
2014-07-22,4.40,4.85,4.40,4.60,17800,4.60
2014-07-21,4.42,4.42,4.20,4.23,3500,4.23
2014-07-18,4.20,4.38,4.20,4.29,2000,4.29
2014-07-17,4.39,4.40,4.20,4.20,14200,4.20
2014-07-16,4.40,4.40,4.31,4.35,1300,4.35
2014-07-15,4.22,4.42,4.21,4.42,1100,4.42
2014-07-14,4.35,4.40,4.20,4.26,1600,4.26
2014-07-11,4.28,4.43,4.15,4.21,29300,4.21
2014-07-10,4.50,4.50,4.12,4.16,29800,4.16
