Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,34.64,35.06,34.43,34.72,287400,34.72
2014-12-30,34.63,34.95,34.30,34.50,193300,34.50
2014-12-29,34.73,34.86,34.17,34.60,276500,34.60
2014-12-26,35.00,35.05,34.52,34.81,177000,34.81
2014-12-24,35.00,35.36,34.80,34.94,157300,34.94
2014-12-23,34.58,35.19,34.35,35.05,270400,35.05
2014-12-22,36.00,36.10,34.20,34.56,570600,34.56
2014-12-19,36.00,36.38,35.65,35.92,723100,35.92
2014-12-18,35.56,35.84,35.02,35.71,366600,35.71
2014-12-17,34.12,35.29,33.91,35.11,352800,35.11
2014-12-16,33.24,34.39,33.10,33.95,665400,33.95
2014-12-15,34.31,34.79,33.22,33.27,557000,33.27
2014-12-12,34.42,34.82,34.02,34.03,275800,34.03
2014-12-11,34.48,35.32,34.32,34.83,231300,34.83
2014-12-10,35.47,35.89,34.26,34.31,284500,34.31
2014-12-09,34.41,35.77,34.01,35.72,387000,35.72
2014-12-08,37.00,37.00,35.18,35.21,477500,35.21
2014-12-05,36.93,37.45,36.62,37.08,415500,37.08
2014-12-04,37.50,37.50,36.35,36.92,513000,36.92
2014-12-03,36.79,38.10,36.38,37.57,957100,37.57
2014-12-02,35.61,36.62,35.20,36.48,505300,36.48
2014-12-01,36.14,36.42,35.33,35.38,598300,35.38
2014-11-28,36.26,36.64,35.76,36.42,295000,36.42
2014-11-26,36.35,36.50,35.67,36.22,340600,36.22
2014-11-25,35.15,36.80,35.00,36.53,739800,36.53
2014-11-24,34.80,35.69,34.60,35.57,474900,35.57
2014-11-21,35.31,35.70,34.56,34.78,404500,34.78
2014-11-20,34.59,34.95,34.25,34.79,643700,34.79
2014-11-19,35.40,35.50,34.06,34.18,464400,34.18
2014-11-18,35.24,35.84,35.10,35.36,475700,35.36
2014-11-17,34.96,35.58,34.75,35.05,736100,35.05
2014-11-14,34.20,35.26,34.01,35.08,450800,35.08
2014-11-13,34.46,35.00,34.20,34.27,328400,34.27
2014-11-12,34.25,34.84,34.15,34.65,263400,34.65
2014-11-11,34.32,34.73,34.04,34.48,226300,34.48
2014-11-10,35.00,35.10,34.12,34.43,336500,34.43
2014-11-07,34.70,35.44,34.51,35.14,355400,35.14
2014-11-06,34.49,34.83,33.83,34.81,362300,34.81
2014-11-05,35.30,35.60,34.48,34.58,399300,34.58
2014-11-04,36.28,36.65,35.12,35.29,700500,35.29
2014-11-03,35.75,36.63,35.38,36.36,758300,36.36
2014-10-31,35.71,35.87,35.02,35.72,524700,35.72
2014-10-30,34.50,35.38,34.49,35.11,447100,35.11
2014-10-29,34.39,34.94,34.26,34.71,580200,34.71
2014-10-28,33.94,34.76,33.66,34.47,620000,34.47
2014-10-27,34.06,34.57,33.65,34.46,550000,34.46
2014-10-24,35.41,35.44,33.92,34.39,892000,34.39
2014-10-23,35.63,36.00,34.08,35.90,1468500,35.90
2014-10-22,34.50,37.68,34.50,36.04,4696700,36.04
2014-10-21,30.77,31.75,30.16,31.61,1336600,31.61
2014-10-20,31.69,32.00,30.25,30.65,1082400,30.65
2014-10-17,32.63,32.63,31.65,31.85,469900,31.85
2014-10-16,32.42,32.84,31.77,32.20,466600,32.20
2014-10-15,32.95,33.63,31.85,33.07,607700,33.07
2014-10-14,32.19,33.39,32.18,33.19,521800,33.19
2014-10-13,31.87,32.91,31.72,32.12,750700,32.12
2014-10-10,31.65,32.32,31.42,32.00,892200,32.00
2014-10-09,31.39,32.22,31.27,31.82,718900,31.82
2014-10-08,30.57,31.52,30.50,31.49,563600,31.49
2014-10-07,30.34,31.17,30.13,30.57,655500,30.57
2014-10-06,30.50,30.87,30.20,30.45,258300,30.45
2014-10-03,30.88,31.32,30.39,30.59,622800,30.59
2014-10-02,30.22,30.90,29.96,30.63,352500,30.63
2014-10-01,30.34,30.35,29.73,30.26,983300,30.26
2014-09-30,30.80,31.12,30.00,30.45,483500,30.45
2014-09-29,30.99,31.20,30.65,30.91,298500,30.91
2014-09-26,31.37,31.73,30.90,31.50,490100,31.50
2014-09-25,31.90,32.10,31.04,31.38,455900,31.38
2014-09-24,31.60,32.00,31.31,31.87,378900,31.87
2014-09-23,31.10,31.59,31.03,31.55,584200,31.55
2014-09-22,31.62,31.84,31.05,31.21,712400,31.21
2014-09-19,31.88,32.19,31.45,31.67,3857400,31.67
2014-09-18,31.57,31.86,31.24,31.76,886700,31.76
2014-09-17,31.03,31.79,30.91,31.30,479000,31.30
2014-09-16,30.39,31.08,30.24,30.97,539800,30.97
2014-09-15,30.94,31.23,30.37,30.60,638400,30.60
2014-09-12,31.87,32.21,30.75,31.07,873400,31.07
2014-09-11,32.19,32.38,31.73,31.83,604000,31.83
