Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,12.35,12.50,12.35,12.37,3400,12.37
2015-04-07,12.35,12.35,12.35,12.35,400,12.35
2015-04-06,12.42,12.60,12.35,12.35,5600,12.35
2015-04-02,12.46,12.46,12.40,12.40,1200,12.40
2015-04-01,12.47,12.49,12.45,12.49,1000,12.49
2015-03-31,12.40,12.66,12.40,12.66,2800,12.66
2015-03-30,12.50,12.50,12.50,12.50,000,12.50
2015-03-27,12.50,12.50,12.50,12.50,000,12.50
2015-03-26,12.45,12.55,12.45,12.50,11500,12.50
2015-03-25,12.40,12.40,12.40,12.40,100,12.40
2015-03-24,12.40,12.46,12.40,12.46,2300,12.46
2015-03-23,12.47,12.47,12.40,12.40,7700,12.40
2015-03-20,12.55,12.55,12.45,12.45,1400,12.45
2015-03-19,12.40,12.60,12.40,12.60,600,12.60
2015-03-18,12.60,12.60,12.40,12.40,14900,12.40
2015-03-17,12.40,12.52,12.40,12.52,700,12.52
2015-03-16,12.60,12.69,12.40,12.40,8000,12.40
2015-03-13,12.55,12.69,12.55,12.69,41300,12.69
2015-03-12,12.50,12.50,12.50,12.50,700,12.50
2015-03-11,12.45,12.60,12.45,12.45,2900,12.45
2015-03-10,12.50,12.50,12.49,12.49,800,12.49
2015-03-09,12.55,12.60,12.50,12.60,6200,12.60
2015-03-06,12.56,12.68,12.50,12.68,23700,12.68
2015-03-05,12.42,12.50,12.42,12.50,8000,12.50
2015-03-04,12.44,12.49,12.40,12.45,11100,12.45
2015-03-03,12.50,12.50,12.42,12.50,5400,12.50
2015-03-02,12.60,12.60,12.37,12.51,17200,12.51
2015-02-27,12.33,12.50,12.30,12.48,24300,12.48
2015-02-26,12.44,12.45,12.36,12.44,900,12.44
2015-02-25,12.39,12.39,12.30,12.30,400,12.30
2015-02-24,12.32,12.46,12.30,12.46,700,12.46
2015-02-23,12.42,12.42,12.14,12.25,2500,12.25
2015-02-20,12.36,12.39,12.31,12.31,2300,12.31
2015-02-19,12.30,12.50,12.30,12.40,24900,12.40
2015-02-18,12.25,12.39,12.25,12.38,2500,12.38
2015-02-17,12.25,12.37,12.25,12.32,20000,12.32
2015-02-13,12.30,12.40,12.25,12.38,7600,12.38
2015-02-12,12.40,12.50,12.35,12.35,34700,12.35
2015-02-11,12.30,12.30,12.30,12.30,000,12.22
2015-02-10,12.40,12.40,12.30,12.30,600,12.22
2015-02-09,12.25,12.25,12.25,12.25,300,12.17
2015-02-06,12.26,12.31,12.25,12.31,2000,12.23
2015-02-05,12.30,12.49,12.29,12.34,14900,12.26
2015-02-04,12.29,12.30,12.29,12.30,3200,12.22
2015-02-03,12.17,12.30,12.15,12.20,3100,12.12
2015-02-02,12.05,12.15,12.05,12.15,2400,12.07
2015-01-30,12.20,12.20,12.10,12.19,3400,12.11
2015-01-29,12.20,12.26,12.18,12.23,28300,12.15
2015-01-28,12.21,12.24,12.15,12.24,900,12.16
2015-01-27,12.17,12.24,12.15,12.15,500,12.07
2015-01-26,12.30,12.32,12.15,12.16,8200,12.08
2015-01-23,12.35,12.42,12.30,12.31,8800,12.23
2015-01-22,12.05,12.34,12.00,12.34,2600,12.26
2015-01-21,12.10,12.22,12.10,12.17,6500,12.09
2015-01-20,12.20,12.20,12.05,12.10,800,12.02
2015-01-16,12.00,12.21,12.00,12.21,400,12.13
2015-01-15,12.15,12.16,12.05,12.10,2800,12.02
2015-01-14,12.39,12.39,11.90,12.21,9500,12.13
2015-01-13,12.50,12.50,12.40,12.40,2700,12.32
2015-01-12,12.51,12.52,12.50,12.50,2400,12.42
2015-01-09,12.65,12.65,12.50,12.56,6400,12.48
2015-01-08,12.50,12.60,12.50,12.50,9900,12.42
2015-01-07,12.74,12.74,12.50,12.51,2700,12.43
2015-01-06,12.35,12.75,12.30,12.75,37400,12.67
2015-01-05,12.41,12.41,12.31,12.35,2700,12.27
2015-01-02,12.40,12.45,12.30,12.31,6000,12.23
