Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,82.63,83.10,81.84,82.28,18925700,82.28
2015-04-07,82.65,83.42,82.22,82.32,17415500,82.32
2015-04-06,80.80,82.81,80.80,82.44,19004500,82.44
2015-04-02,82.25,82.56,81.44,81.56,19607500,81.56
2015-04-01,82.50,82.72,80.87,81.67,21984100,81.67
2015-03-31,82.90,83.50,82.21,82.22,19685500,82.22
2015-03-30,83.81,84.34,82.41,83.20,24404400,83.20
2015-03-27,83.38,83.95,82.88,83.30,18283600,83.30
2015-03-26,82.72,83.77,82.14,83.01,32742800,83.01
2015-03-25,85.50,85.52,82.92,82.92,37224600,82.92
2015-03-24,84.71,86.07,84.52,85.31,32475600,85.31
2015-03-23,83.92,84.96,83.30,84.43,27035900,84.43
2015-03-20,83.39,84.60,83.07,83.80,44466300,83.80
2015-03-19,81.12,83.00,81.00,82.75,42099500,82.75
2015-03-18,79.25,81.24,79.17,80.91,36912400,80.91
2015-03-17,78.36,79.78,78.34,79.36,22170000,79.36
2015-03-16,77.96,78.12,77.36,78.07,19305400,78.07
2015-03-13,78.60,79.38,77.68,78.05,18557300,78.05
2015-03-12,78.10,79.05,77.91,78.93,16093300,78.93
2015-03-11,77.80,78.43,77.26,77.57,20215700,77.57
2015-03-10,78.50,79.26,77.55,77.55,23067100,77.55
2015-03-09,79.68,79.91,78.63,79.44,18925100,79.44
2015-03-06,80.90,81.33,79.83,80.01,24488600,80.01
2015-03-05,81.23,81.99,81.05,81.21,27825700,81.21
2015-03-04,79.30,81.15,78.85,80.90,28126700,80.90
2015-03-03,79.61,79.70,78.52,79.60,18635000,79.60
2015-03-02,79.00,79.86,78.52,79.75,21662500,79.75
2015-02-27,80.68,81.23,78.62,78.97,30739200,78.97
2015-02-26,79.88,81.37,79.72,80.41,31111900,80.41
2015-02-25,78.50,80.20,78.50,79.56,25593800,79.56
2015-02-24,78.50,79.48,78.10,78.45,18897100,78.45
2015-02-23,79.96,80.19,78.38,78.84,24139100,78.84
2015-02-20,79.55,80.34,79.20,79.90,36931700,79.90
2015-02-19,76.99,79.84,76.95,79.42,45851200,79.42
2015-02-18,75.94,76.90,75.45,76.71,22426400,76.71
2015-02-17,75.30,76.91,75.08,75.60,25254400,75.60
2015-02-13,76.46,76.48,75.50,75.74,18621900,75.74
2015-02-12,76.86,76.87,75.89,76.23,17235000,76.23
2015-02-11,75.09,76.75,75.03,76.51,20877400,76.51
2015-02-10,74.85,75.34,74.50,75.19,15811300,75.19
2015-02-09,74.05,74.83,73.45,74.44,16194300,74.44
2015-02-06,75.68,75.70,74.25,74.47,20989300,74.47
2015-02-05,75.71,75.98,75.21,75.61,15062600,75.61
2015-02-04,75.09,76.35,75.01,75.63,20277400,75.63
2015-02-03,75.19,75.58,73.86,75.40,26957700,75.40
2015-02-02,76.11,76.14,73.75,74.99,41955300,74.99
2015-01-30,78.00,78.16,75.75,75.91,42649500,75.91
2015-01-29,76.85,78.02,74.21,78.00,61293500,78.00
2015-01-28,76.90,77.64,76.00,76.24,53306400,76.24
2015-01-27,76.71,76.88,75.63,75.78,20110000,75.78
2015-01-26,77.98,78.47,77.29,77.50,19260800,77.50
2015-01-23,77.65,78.19,77.04,77.83,16746500,77.83
2015-01-22,77.17,77.75,76.68,77.65,19519500,77.65
2015-01-21,76.16,77.30,75.85,76.74,25096700,76.74
2015-01-20,75.72,76.31,74.82,76.24,22821600,76.24
2015-01-16,74.04,75.32,73.84,75.18,21791500,75.18
2015-01-15,76.40,76.57,73.54,74.05,34134000,74.05
2015-01-14,76.42,77.20,76.03,76.28,25918600,76.28
2015-01-13,77.23,78.08,75.85,76.45,25179600,76.45
2015-01-12,77.84,78.00,76.21,76.72,19190200,76.72
2015-01-09,78.20,78.62,77.20,77.74,21157000,77.74
2015-01-08,76.74,78.23,76.08,78.18,23961000,78.18
2015-01-07,76.76,77.36,75.82,76.15,22045300,76.15
2015-01-06,77.23,77.59,75.36,76.15,27399300,76.15
2015-01-05,77.98,79.25,76.86,77.19,26452200,77.19
2015-01-02,78.58,78.93,77.70,78.45,18177500,78.45
