Date,Open,High,Low,Close,Volume,Adj Close
2014-11-28,22.25,22.25,20.25,20.43,138100,20.43
2014-11-26,22.74,22.89,22.27,22.50,89000,22.50
2014-11-25,22.79,22.97,22.29,22.52,87600,22.52
2014-11-24,23.11,23.12,22.62,22.98,53700,22.98
2014-11-21,23.00,23.14,22.77,22.97,93500,22.97
2014-11-20,22.93,23.04,22.79,22.90,48600,22.90
2014-11-19,22.75,23.20,22.67,22.82,69200,22.82
2014-11-18,22.90,23.25,22.71,22.98,96000,22.98
2014-11-17,22.57,22.79,22.27,22.64,88000,22.64
2014-11-14,22.29,23.10,22.06,22.33,60100,22.33
2014-11-13,22.81,22.81,22.15,22.58,99500,22.58
2014-11-12,22.66,23.16,22.30,22.68,112300,22.68
2014-11-11,22.78,23.06,22.42,22.77,147300,22.77
2014-11-10,23.31,23.49,22.52,22.89,95400,22.89
2014-11-07,22.50,23.29,22.24,23.16,127700,23.16
2014-11-06,21.83,22.77,21.20,22.50,169100,22.50
2014-11-05,21.60,22.00,21.40,22.00,109900,22.00
2014-11-04,21.51,21.60,20.59,21.39,343800,21.39
2014-11-03,21.46,22.16,21.12,21.65,139500,21.65
2014-10-31,21.81,21.81,21.00,21.45,104500,21.45
2014-10-30,22.26,22.48,21.08,21.68,194000,21.68
2014-10-29,22.76,23.15,22.04,22.27,215700,22.27
2014-10-28,23.05,23.57,22.80,22.94,225300,22.48
2014-10-27,23.10,23.37,22.61,23.19,182800,22.72
2014-10-24,23.38,23.75,22.75,23.20,127400,22.73
2014-10-23,23.90,23.90,23.09,23.71,219600,23.23
2014-10-22,23.98,24.31,23.76,23.98,182100,23.50
2014-10-21,24.46,24.47,23.55,24.13,161900,23.65
2014-10-20,23.95,24.50,23.42,24.40,116600,23.91
2014-10-17,23.41,23.98,22.85,23.85,270600,23.37
2014-10-16,21.26,23.36,20.89,22.96,127000,22.50
2014-10-15,21.52,21.95,20.85,21.72,191100,21.28
2014-10-14,22.59,22.59,21.60,21.87,228800,21.43
2014-10-13,23.35,23.48,22.27,22.72,145000,22.26
2014-10-10,23.00,23.58,21.71,23.20,246300,22.73
2014-10-09,23.44,23.44,22.57,22.93,124400,22.47
2014-10-08,23.70,24.19,22.18,23.32,202900,22.85
2014-10-07,24.23,24.23,23.56,23.69,132500,23.21
2014-10-06,24.15,24.24,23.66,24.24,154000,23.75
2014-10-03,24.51,24.51,23.83,24.11,110000,23.63
2014-10-02,24.01,24.43,23.65,24.28,104200,23.79
2014-10-01,24.23,24.50,23.76,24.00,168700,23.52
2014-09-30,24.02,24.41,23.91,24.16,144300,23.68
2014-09-29,24.00,24.49,23.63,24.18,165200,23.70
2014-09-26,24.02,24.47,23.90,24.09,214500,23.61
2014-09-25,24.54,24.61,23.44,24.14,190500,23.66
2014-09-24,24.26,24.83,23.32,24.68,354500,24.19
2014-09-23,24.50,25.00,24.32,24.47,293000,23.98
2014-09-22,25.75,25.99,24.54,24.74,207000,24.24
2014-09-19,26.41,26.41,25.35,25.59,98100,25.08
2014-09-18,25.85,26.45,25.50,26.31,99700,25.78
2014-09-17,25.97,26.13,25.34,25.74,211900,25.22
2014-09-16,25.72,26.23,25.65,25.87,106300,25.35
2014-09-15,26.32,26.49,25.59,25.90,178300,25.38
2014-09-12,26.95,26.97,26.13,26.24,147000,25.71
2014-09-11,26.82,27.06,26.50,26.90,90900,26.36
2014-09-10,26.18,26.86,25.93,26.70,274100,26.16
2014-09-09,26.85,26.85,25.25,26.15,428900,25.63
2014-09-08,27.30,27.30,26.01,26.66,277000,26.13
2014-09-05,27.30,27.32,26.75,27.25,151200,26.70
2014-09-04,27.25,27.64,26.97,27.23,269100,26.68
2014-09-03,27.30,27.50,26.76,27.32,456800,26.77
