Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,2.28,2.35,2.26,2.33,182100,2.33
2014-12-30,2.32,2.34,2.27,2.29,167700,2.29
2014-12-29,2.33,2.39,2.33,2.35,131300,2.35
2014-12-26,2.37,2.42,2.33,2.33,156200,2.33
2014-12-24,2.36,2.41,2.34,2.39,55600,2.39
2014-12-23,2.35,2.39,2.33,2.33,108100,2.33
2014-12-22,2.40,2.42,2.32,2.35,89600,2.35
2014-12-19,2.40,2.45,2.31,2.42,95600,2.42
2014-12-18,2.40,2.41,2.31,2.36,70000,2.36
2014-12-17,2.38,2.40,2.30,2.37,66400,2.37
2014-12-16,2.33,2.40,2.33,2.38,45600,2.38
2014-12-15,2.42,2.50,2.35,2.36,76000,2.36
2014-12-12,2.38,2.53,2.37,2.42,64700,2.42
2014-12-11,2.43,2.51,2.41,2.42,54500,2.42
2014-12-10,2.39,2.58,2.34,2.47,162000,2.47
2014-12-09,2.40,2.42,2.33,2.39,249600,2.39
2014-12-08,2.49,2.56,2.40,2.41,68200,2.41
2014-12-05,2.40,2.62,2.37,2.49,67800,2.49
2014-12-04,2.45,2.47,2.36,2.41,92200,2.41
2014-12-03,2.49,2.49,2.40,2.46,92200,2.46
2014-12-02,2.46,2.51,2.43,2.47,40100,2.47
2014-12-01,2.63,2.63,2.44,2.49,74100,2.49
2014-11-28,2.70,2.70,2.57,2.67,17600,2.67
2014-11-26,2.65,2.71,2.56,2.68,29500,2.68
2014-11-25,2.69,2.76,2.65,2.67,63500,2.67
2014-11-24,2.70,2.78,2.60,2.68,211800,2.68
2014-11-21,2.45,2.62,2.45,2.58,78800,2.58
2014-11-20,2.42,2.52,2.41,2.45,54300,2.45
2014-11-19,2.48,2.49,2.41,2.47,23000,2.47
2014-11-18,2.51,2.51,2.38,2.51,79000,2.51
2014-11-17,2.50,2.53,2.46,2.47,29000,2.47
2014-11-14,2.49,2.54,2.45,2.53,36600,2.53
2014-11-13,2.50,2.63,2.44,2.47,44000,2.47
2014-11-12,2.42,2.57,2.41,2.50,37100,2.50
2014-11-11,2.42,2.47,2.40,2.45,49500,2.45
2014-11-10,2.54,2.57,2.44,2.45,70600,2.45
2014-11-07,2.52,2.55,2.50,2.52,26100,2.52
2014-11-06,2.51,2.57,2.45,2.55,49700,2.55
2014-11-05,2.57,2.65,2.43,2.54,71500,2.54
2014-11-04,2.63,2.65,2.48,2.52,148400,2.52
2014-11-03,2.75,2.78,2.63,2.67,36400,2.67
2014-10-31,2.88,2.88,2.71,2.74,71300,2.74
2014-10-30,2.62,2.83,2.60,2.75,325600,2.75
2014-10-29,2.57,2.64,2.55,2.56,58000,2.56
2014-10-28,2.56,2.58,2.48,2.53,101100,2.53
2014-10-27,2.56,2.58,2.54,2.58,20900,2.58
2014-10-24,2.53,2.60,2.46,2.59,36500,2.59
2014-10-23,2.52,2.58,2.43,2.54,99500,2.54
2014-10-22,2.60,2.70,2.52,2.54,35000,2.54
2014-10-21,2.63,2.64,2.60,2.63,17300,2.63
2014-10-20,2.56,2.63,2.45,2.60,49500,2.60
2014-10-17,2.60,2.68,2.51,2.55,91900,2.55
2014-10-16,2.50,2.65,2.50,2.61,55800,2.61
2014-10-15,2.48,2.60,2.38,2.55,92800,2.55
2014-10-14,2.55,2.60,2.49,2.53,42900,2.53
2014-10-13,2.61,2.66,2.48,2.55,76300,2.55
2014-10-10,2.60,2.74,2.54,2.59,184000,2.59
2014-10-09,2.77,2.83,2.60,2.63,100700,2.63
2014-10-08,2.80,2.83,2.66,2.80,56500,2.80
2014-10-07,2.81,2.89,2.71,2.76,115600,2.76
2014-10-06,2.89,2.96,2.75,2.82,70800,2.82
2014-10-03,2.92,2.99,2.83,2.91,47600,2.91
2014-10-02,2.85,2.99,2.82,2.92,86500,2.92
2014-10-01,2.92,2.98,2.77,2.83,122800,2.83
2014-09-30,3.01,3.01,2.92,2.96,37800,2.96
