Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,55.36,56.38,54.97,55.05,365200,55.05
2014-12-30,55.78,56.22,54.77,55.20,341100,55.20
2014-12-29,55.92,56.68,55.44,56.13,398200,56.13
2014-12-26,55.07,55.60,54.70,55.15,195200,55.15
2014-12-24,54.31,55.50,53.96,54.94,247100,54.94
2014-12-23,56.73,56.90,53.52,53.95,807100,53.95
2014-12-22,56.77,56.78,56.10,56.44,374200,56.44
2014-12-19,56.81,57.20,56.28,56.55,706600,56.55
2014-12-18,56.61,56.88,55.82,56.85,549800,56.85
2014-12-17,53.74,55.84,53.08,55.74,556100,55.74
2014-12-16,52.61,54.24,52.60,53.26,420700,53.26
2014-12-15,53.73,54.19,52.40,52.85,746300,52.85
2014-12-12,53.63,54.63,53.01,53.66,801500,53.66
2014-12-11,55.66,55.94,54.10,54.33,840300,54.33
2014-12-10,58.14,58.15,55.50,55.54,767500,55.54
2014-12-09,55.48,58.32,55.47,58.30,647800,58.30
2014-12-08,55.40,56.60,54.67,56.06,690800,56.06
2014-12-05,54.55,55.70,54.48,55.31,630800,55.31
2014-12-04,54.31,55.09,53.90,54.59,627400,54.59
2014-12-03,53.45,55.15,53.17,54.50,688800,54.50
2014-12-02,51.41,53.48,51.40,53.45,677800,53.45
2014-12-01,50.90,52.00,50.54,51.30,801800,51.30
2014-11-28,51.68,52.24,51.35,51.46,418100,51.46
2014-11-26,50.83,51.54,50.63,51.35,436700,51.35
2014-11-25,51.41,51.80,50.43,50.71,643000,50.71
2014-11-24,50.41,51.26,50.06,51.18,804900,51.18
2014-11-21,51.72,51.72,49.84,50.37,739000,50.37
2014-11-20,50.33,51.10,50.10,50.85,378600,50.85
2014-11-19,51.44,51.74,50.43,50.48,561900,50.48
2014-11-18,51.57,52.60,51.48,51.59,675300,51.59
2014-11-17,52.78,53.08,51.67,51.74,518300,51.74
2014-11-14,53.40,53.62,52.25,52.73,522200,52.73
2014-11-13,53.50,54.50,53.36,53.63,474000,53.63
2014-11-12,52.70,54.17,52.65,54.01,594100,54.01
2014-11-11,53.08,54.00,52.50,53.14,846000,53.14
2014-11-10,50.79,53.50,50.07,53.50,1248000,53.50
2014-11-07,46.79,52.08,46.61,50.93,2408600,50.93
2014-11-06,43.45,44.77,43.45,44.63,1172500,44.63
2014-11-05,45.00,45.17,43.89,44.00,478000,44.00
2014-11-04,44.29,45.40,44.10,44.48,788500,44.48
2014-11-03,45.15,45.15,43.85,43.96,623400,43.96
2014-10-31,46.03,46.24,44.92,44.95,589500,44.95
2014-10-30,44.39,45.50,43.95,44.77,655100,44.77
2014-10-29,44.27,44.86,44.15,44.50,558900,44.50
2014-10-28,43.25,44.53,43.18,44.16,997700,44.16
2014-10-27,43.31,43.31,42.57,43.10,508400,43.10
2014-10-24,44.22,44.53,43.15,43.31,598200,43.31
2014-10-23,43.33,44.53,42.83,44.08,499200,44.08
2014-10-22,44.15,44.58,42.12,42.84,662100,42.84
2014-10-21,42.65,44.14,42.49,44.08,544100,44.08
2014-10-20,40.55,42.19,40.39,42.00,537800,42.00
2014-10-17,42.02,42.02,40.64,40.66,445600,40.66
2014-10-16,40.85,42.42,40.60,41.38,601300,41.38
2014-10-15,40.33,41.93,38.91,41.49,799800,41.49
2014-10-14,40.96,41.68,40.55,40.99,491400,40.99
2014-10-13,40.62,41.72,39.65,40.52,653200,40.52
2014-10-10,40.40,42.04,40.29,40.50,515800,40.50
2014-10-09,41.89,42.52,40.65,40.67,410100,40.67
2014-10-08,40.34,42.05,40.00,41.93,489300,41.93
2014-10-07,40.63,41.14,40.26,40.37,458200,40.37
2014-10-06,42.82,42.99,41.24,41.25,524200,41.25
2014-10-03,41.25,42.93,41.18,42.59,683400,42.59
2014-10-02,39.06,41.02,38.77,40.65,516400,40.65
2014-10-01,39.78,39.84,38.80,39.08,715900,39.08
2014-09-30,41.22,41.43,39.98,39.99,578600,39.99
2014-09-29,40.50,41.67,40.12,41.39,390100,41.39
2014-09-26,40.69,41.19,40.59,41.00,279400,41.00
2014-09-25,41.33,41.33,40.35,40.59,455300,40.59
2014-09-24,40.52,41.63,40.12,41.38,457200,41.38
2014-09-23,40.18,40.79,39.91,40.34,759900,40.34
2014-09-22,41.64,41.65,39.90,40.45,591700,40.45
2014-09-19,42.42,42.48,41.47,41.78,747600,41.78
2014-09-18,41.88,42.62,41.55,42.25,441600,42.25
2014-09-17,41.03,41.80,40.84,41.56,581600,41.56
2014-09-16,40.80,41.48,40.36,41.07,528700,41.07
2014-09-15,42.60,42.60,40.56,40.83,726900,40.83
2014-09-12,43.76,44.07,42.46,42.51,768400,42.51
2014-09-11,42.88,43.85,42.53,43.69,606300,43.69
2014-09-10,42.64,43.62,42.54,43.30,672400,43.30
2014-09-09,43.23,43.53,42.34,42.50,536900,42.50
2014-09-08,42.68,43.29,42.59,43.19,430800,43.19
2014-09-05,42.53,43.21,41.92,42.85,428900,42.85
2014-09-04,43.54,43.95,42.50,42.68,811100,42.68
2014-09-03,44.62,44.65,43.32,43.58,966900,43.58
2014-09-02,44.53,44.94,44.02,44.82,519800,44.82
2014-08-29,44.35,44.93,44.02,44.20,331000,44.20
2014-08-28,44.87,45.42,44.14,44.28,448300,44.28
2014-08-27,45.59,46.12,44.93,45.18,663300,45.18
2014-08-26,43.85,46.37,43.83,45.89,985500,45.89
2014-08-25,44.78,44.78,43.54,43.91,364200,43.91
2014-08-22,43.61,44.81,43.00,44.08,686800,44.08
2014-08-21,44.20,44.23,42.98,43.54,692500,43.54
2014-08-20,44.64,44.91,43.62,44.14,427900,44.14
2014-08-19,44.37,45.45,44.30,44.92,825400,44.92
2014-08-18,43.90,44.42,43.50,44.41,577800,44.41
2014-08-15,44.37,44.37,42.89,43.62,451100,43.62
2014-08-14,43.67,44.44,43.36,43.93,487300,43.93
2014-08-13,43.14,44.27,42.60,43.89,566700,43.89
2014-08-12,43.71,43.93,42.78,42.89,713700,42.89
2014-08-11,44.51,44.94,43.77,43.85,902000,43.85
2014-08-08,43.25,44.43,43.02,44.25,1042200,44.25
2014-08-07,40.24,43.98,39.82,43.41,2591000,43.41
2014-08-06,38.61,39.50,38.15,38.21,888600,38.21
2014-08-05,38.26,39.49,37.95,39.10,563900,39.10
2014-08-04,37.48,38.58,37.19,38.42,616000,38.42
2014-08-01,37.72,38.17,36.53,37.23,819200,37.23
2014-07-31,39.42,39.56,37.66,37.68,743600,37.68
2014-07-30,40.20,40.94,39.61,40.11,776000,40.11
2014-07-29,39.31,40.38,39.00,39.88,793300,39.88
2014-07-28,39.20,39.44,38.10,39.31,715400,39.31
2014-07-25,38.03,39.29,37.86,39.05,763100,39.05
2014-07-24,38.42,38.78,38.05,38.43,557000,38.43
2014-07-23,37.93,38.57,37.88,38.50,555600,38.50
2014-07-22,37.21,38.38,36.95,37.83,485300,37.83
2014-07-21,36.45,37.28,36.12,36.95,433100,36.95
2014-07-18,35.72,36.80,35.50,36.72,564100,36.72
2014-07-17,36.14,36.85,35.71,35.88,711100,35.88
2014-07-16,36.65,36.82,36.01,36.53,498400,36.53
2014-07-15,37.08,37.43,36.29,36.41,560200,36.41
2014-07-14,37.09,37.17,36.27,37.00,453300,37.00
2014-07-11,35.81,36.74,35.60,36.61,533700,36.61
2014-07-10,34.92,36.39,34.67,35.93,423500,35.93
2014-07-09,35.38,36.30,35.38,36.17,589100,36.17
2014-07-08,37.74,37.82,35.24,35.35,1196700,35.35
2014-07-07,39.68,39.68,37.84,37.93,694100,37.93
2014-07-03,40.00,40.10,39.35,39.83,235900,39.83
2014-07-02,39.71,40.51,39.50,39.73,551000,39.73
2014-07-01,39.93,40.08,39.37,39.68,1416900,39.68
2014-06-30,39.50,40.21,39.43,39.66,902200,39.66
2014-06-27,40.17,40.25,39.34,39.65,1016400,39.65
2014-06-26,40.88,40.98,40.15,40.40,559600,40.40
2014-06-25,40.49,40.98,40.20,40.81,519600,40.81
2014-06-24,40.61,41.59,40.59,40.74,643500,40.74
2014-06-23,40.97,41.55,40.53,40.91,788400,40.91
2014-06-20,40.00,41.06,39.67,41.00,1022900,41.00
2014-06-19,39.92,40.02,39.33,39.99,519500,39.99
2014-06-18,39.09,39.91,39.03,39.89,795500,39.89
2014-06-17,37.95,39.98,37.24,39.22,1320200,39.22
2014-06-16,36.15,37.87,36.04,37.83,817500,37.83
2014-06-13,36.19,37.06,35.29,36.00,518100,36.00
2014-06-12,36.13,36.49,35.46,36.01,555600,36.01
2014-06-11,36.84,36.96,35.91,36.23,453200,36.23
2014-06-10,37.16,37.52,36.51,37.08,662600,37.08
2014-06-09,36.55,37.48,36.37,37.38,838900,37.38
