Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,8.30,8.34,8.15,8.26,6587800,8.26
2014-12-30,8.21,8.31,8.12,8.22,9087900,8.22
2014-12-29,8.13,8.43,8.10,8.25,10449900,8.25
2014-12-26,7.95,8.43,7.94,8.14,17561300,8.14
2014-12-24,8.01,8.07,7.87,7.89,4034300,7.89
2014-12-23,7.95,8.23,7.88,8.03,11422300,8.03
2014-12-22,7.95,8.00,7.81,7.95,9187900,7.95
2014-12-19,7.75,7.95,7.66,7.92,20214500,7.92
2014-12-18,7.28,7.87,7.22,7.79,32447900,7.79
2014-12-17,6.83,7.27,6.83,7.19,20817700,7.19
2014-12-16,6.99,7.04,6.82,6.83,11640200,6.83
2014-12-15,7.25,7.31,7.00,7.01,10710400,7.01
2014-12-12,7.18,7.31,7.13,7.22,19465400,7.22
2014-12-11,7.23,7.35,7.16,7.26,8350900,7.26
2014-12-10,7.29,7.34,7.17,7.18,9423700,7.18
2014-12-09,6.99,7.33,6.95,7.30,13387400,7.30
2014-12-08,7.10,7.14,6.95,7.05,17837100,7.05
2014-12-05,7.40,7.45,7.21,7.27,8814400,7.27
2014-12-04,7.43,7.62,7.36,7.40,8339800,7.40
2014-12-03,7.33,7.50,7.22,7.49,14956700,7.49
2014-12-02,7.64,7.69,7.30,7.34,16418300,7.34
2014-12-01,7.91,7.91,7.37,7.39,20412800,7.39
2014-11-28,7.55,7.60,7.48,7.53,4996700,7.53
2014-11-26,7.51,7.60,7.45,7.51,5453000,7.51
2014-11-25,7.54,7.56,7.45,7.54,7017600,7.54
2014-11-24,7.45,7.62,7.45,7.50,7968000,7.50
2014-11-21,7.62,7.69,7.40,7.51,16653300,7.51
2014-11-20,7.33,7.67,7.33,7.43,27626300,7.43
2014-11-19,7.39,7.49,7.16,7.26,16323300,7.26
2014-11-18,7.62,7.68,7.33,7.37,20415600,7.37
2014-11-17,7.84,7.88,7.54,7.57,12756400,7.57
2014-11-14,7.76,7.90,7.64,7.84,12981400,7.84
2014-11-13,8.10,8.15,7.69,7.77,14434000,7.77
2014-11-12,7.84,8.28,7.76,8.10,45674900,8.10
2014-11-11,7.34,7.88,7.25,7.80,18500400,7.80
