Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,6.63,6.84,6.50,6.68,79700,6.68
2014-12-30,6.85,6.97,6.58,6.63,47200,6.63
2014-12-29,7.09,7.23,6.84,6.90,62200,6.90
2014-12-26,7.16,7.29,6.90,7.17,50400,7.17
2014-12-24,7.10,7.19,7.07,7.12,19600,7.12
2014-12-23,7.40,7.40,6.77,7.06,59800,7.06
2014-12-22,7.69,7.88,7.04,7.44,59700,7.44
2014-12-19,7.33,7.69,7.20,7.54,122300,7.54
2014-12-18,6.85,7.20,6.85,7.19,96400,7.19
2014-12-17,6.40,6.77,6.40,6.65,74300,6.65
2014-12-16,6.08,6.35,6.08,6.29,57400,6.29
2014-12-15,6.32,6.32,6.02,6.17,34800,6.17
2014-12-12,6.31,6.67,6.20,6.30,49200,6.30
2014-12-11,6.35,6.50,5.89,6.30,162700,6.30
2014-12-10,5.82,6.22,5.82,6.18,110400,6.18
2014-12-09,5.12,5.96,5.06,5.72,91400,5.72
2014-12-08,5.12,5.34,4.92,4.99,249100,4.99
2014-12-05,5.04,5.14,4.90,5.09,82100,5.09
2014-12-04,5.10,5.36,4.96,5.10,56500,5.10
2014-12-03,5.01,5.23,4.83,5.13,92000,5.13
2014-12-02,5.48,5.48,5.03,5.04,47100,5.04
2014-12-01,5.59,5.75,5.30,5.38,57300,5.38
2014-11-28,5.75,5.77,5.60,5.61,15900,5.61
2014-11-26,5.68,5.93,5.62,5.69,33700,5.69
2014-11-25,5.75,5.77,5.65,5.65,20400,5.65
2014-11-24,5.80,6.05,5.71,5.71,58900,5.71
2014-11-21,5.75,5.89,5.68,5.84,61200,5.84
2014-11-20,5.86,5.86,5.56,5.62,90300,5.62
2014-11-19,6.05,6.16,5.76,5.95,56000,5.95
2014-11-18,6.06,6.20,6.06,6.13,29500,6.13
2014-11-17,6.27,6.27,6.00,6.06,110500,6.06
2014-11-14,6.47,6.66,6.15,6.33,60100,6.33
2014-11-13,6.41,6.68,6.09,6.58,57600,6.58
2014-11-12,6.48,7.00,6.36,6.41,96400,6.41
2014-11-11,6.65,6.77,6.40,6.50,106000,6.50
2014-11-10,6.76,7.94,6.68,6.68,218800,6.68
2014-11-07,6.56,6.92,6.00,6.00,101400,6.00
2014-11-06,6.72,6.85,6.47,6.49,38100,6.49
2014-11-05,6.72,6.72,6.59,6.68,21300,6.68
2014-11-04,7.07,7.07,6.66,6.67,45200,6.67
2014-11-03,7.51,7.55,7.05,7.07,30900,7.07
2014-10-31,7.55,7.56,7.34,7.40,22300,7.40
2014-10-30,7.54,7.54,7.30,7.43,7900,7.43
2014-10-29,7.37,7.80,7.23,7.58,18300,7.58
2014-10-28,7.42,7.76,7.40,7.40,14600,7.40
2014-10-27,7.95,7.95,7.26,7.30,30500,7.30
2014-10-24,8.03,8.03,7.80,7.98,17000,7.98
2014-10-23,8.04,8.24,7.84,8.06,27500,8.06
2014-10-22,7.80,8.17,7.58,7.99,35200,7.99
2014-10-21,7.19,7.89,7.06,7.83,46600,7.83
2014-10-20,6.45,7.02,6.45,6.99,51400,6.99
2014-10-17,7.08,7.08,6.38,6.47,56500,6.47
2014-10-16,6.44,7.03,6.44,6.90,26700,6.90
2014-10-15,6.45,6.59,6.21,6.47,30700,6.47
2014-10-14,6.68,6.93,6.28,6.49,71700,6.49
2014-10-13,6.43,6.70,6.39,6.62,64800,6.62
2014-10-10,7.20,7.48,6.56,6.62,70400,6.62
2014-10-09,7.41,7.41,7.00,7.31,54700,7.31
2014-10-08,7.69,7.69,7.10,7.35,69900,7.35
2014-10-07,8.06,8.06,7.62,7.68,39600,7.68
2014-10-06,8.42,8.68,7.87,8.11,56800,8.11
2014-10-03,8.42,8.88,8.31,8.38,43500,8.38
2014-10-02,9.07,9.07,8.43,8.44,27600,8.44
2014-10-01,9.08,9.08,8.77,8.95,42600,8.95
2014-09-30,9.15,9.22,8.99,9.00,24500,9.00
2014-09-29,8.54,9.32,8.46,9.15,32900,9.15
2014-09-26,8.98,8.98,8.58,8.61,30900,8.61
2014-09-25,9.07,9.35,8.75,8.78,42700,8.78
2014-09-24,8.52,9.21,8.41,9.09,41300,9.09
2014-09-23,8.31,8.58,8.30,8.51,57300,8.51
2014-09-22,8.35,8.41,8.25,8.36,39600,8.36
2014-09-19,8.57,8.60,8.25,8.36,65000,8.36
2014-09-18,8.72,8.88,8.50,8.57,40200,8.57
2014-09-17,8.60,8.84,8.58,8.63,21000,8.63
2014-09-16,8.65,8.84,8.52,8.58,33600,8.58
2014-09-15,8.75,8.79,8.66,8.68,30000,8.68
2014-09-12,8.69,8.99,8.69,8.78,35500,8.78
2014-09-11,8.71,8.80,8.69,8.73,18900,8.73
2014-09-10,8.69,8.88,8.60,8.67,46100,8.67
2014-09-09,8.77,8.93,8.63,8.75,19000,8.75
2014-09-08,8.71,8.94,8.71,8.82,30500,8.82
2014-09-05,8.76,8.99,8.66,8.70,39500,8.70
2014-09-04,8.79,9.03,8.60,8.76,33900,8.76
2014-09-03,9.03,9.29,8.75,8.82,33300,8.82
2014-09-02,9.30,9.35,8.95,9.02,30100,9.02
2014-08-29,9.13,9.27,8.88,8.90,86800,8.90
