Date,Open,High,Low,Close,Volume,Adj Close
2014-02-11,59.46,60.36,58.84,59.81,35500,59.41
2014-02-10,59.35,59.47,58.31,59.27,53900,58.88
2014-02-07,59.16,59.38,58.17,59.13,94500,58.74
2014-02-06,58.22,59.64,58.22,58.84,48400,58.45
2014-02-05,58.88,59.70,58.14,58.83,109200,58.44
2014-02-04,59.22,60.18,56.88,59.27,62100,58.88
2014-02-03,61.63,62.02,58.61,59.07,103400,58.68
2014-01-31,62.06,63.62,61.52,61.55,105500,61.14
2014-01-30,61.29,63.39,60.89,63.16,112300,62.74
2014-01-29,61.45,61.81,60.66,61.02,152100,60.61
2014-01-28,62.15,62.60,57.00,61.76,305400,61.35
2014-01-27,63.63,63.94,62.29,62.60,80200,62.18
2014-01-24,64.43,64.76,62.67,63.63,52800,63.21
2014-01-23,65.77,65.96,64.40,64.78,59800,64.35
2014-01-22,66.51,66.51,65.93,66.32,31300,65.88
2014-01-21,65.03,66.76,64.63,66.26,57400,65.82
2014-01-17,64.10,65.00,63.95,64.90,64300,64.47
2014-01-16,64.14,64.33,63.19,63.81,53700,63.39
2014-01-15,64.05,64.81,63.96,64.06,51600,63.63
2014-01-14,64.60,64.65,63.87,64.00,95900,63.58
2014-01-13,65.27,65.67,63.71,64.47,80300,64.04
2014-01-10,65.20,65.43,64.19,65.30,86500,64.87
2014-01-09,65.13,65.60,64.62,64.99,45500,64.56
2014-01-08,64.52,65.05,64.01,64.75,97100,64.32
2014-01-07,64.42,65.26,64.04,64.53,100700,64.10
2014-01-06,65.76,66.11,64.15,64.34,70800,63.91
2014-01-03,65.20,66.03,64.93,65.64,57100,65.20
2014-01-02,66.11,66.11,64.99,65.21,60700,64.78
