Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,4.05,4.15,4.01,4.10,16200,4.10
2014-12-30,4.05,4.05,4.02,4.05,9100,4.05
2014-12-29,4.02,4.09,4.02,4.06,7800,4.06
2014-12-26,4.02,4.10,4.02,4.02,7700,4.02
2014-12-24,4.02,4.14,4.02,4.14,2500,4.14
2014-12-23,4.05,4.05,4.01,4.02,6900,4.02
2014-12-22,3.98,4.08,3.98,4.01,7700,4.01
2014-12-19,4.12,4.16,3.95,3.95,23000,3.95
2014-12-18,4.15,4.23,4.12,4.12,3400,4.12
2014-12-17,4.15,4.25,4.15,4.18,5000,4.18
2014-12-16,4.22,4.22,4.14,4.14,1300,4.14
2014-12-15,4.12,4.14,4.12,4.14,17900,4.14
2014-12-12,4.12,4.16,4.12,4.16,2000,4.16
2014-12-11,4.12,4.21,4.12,4.12,7100,4.12
2014-12-10,4.16,4.20,4.10,4.14,13900,4.14
2014-12-09,4.12,4.19,4.10,4.17,19700,4.17
2014-12-08,4.12,4.12,4.10,4.12,1800,4.12
2014-12-05,4.15,4.21,4.12,4.12,6800,4.12
2014-12-04,4.16,4.21,4.12,4.16,11500,4.16
2014-12-03,4.15,4.22,4.14,4.22,2800,4.22
2014-12-02,4.22,4.22,4.09,4.11,4000,4.11
2014-12-01,4.27,4.35,4.09,4.09,7800,4.09
2014-11-28,4.28,4.28,4.28,4.28,300,4.28
2014-11-26,4.21,4.21,4.21,4.21,900,4.21
2014-11-25,4.32,4.32,4.21,4.26,5800,4.26
2014-11-24,4.46,4.46,4.28,4.30,12100,4.30
2014-11-21,4.24,4.39,4.24,4.27,2300,4.27
2014-11-20,4.46,4.46,4.30,4.30,2200,4.30
2014-11-19,4.24,4.44,4.24,4.27,1200,4.27
2014-11-18,4.25,4.25,4.20,4.20,2500,4.20
2014-11-17,4.13,4.47,4.13,4.47,400,4.47
2014-11-14,4.25,4.58,4.25,4.58,800,4.58
2014-11-13,4.45,4.57,4.45,4.57,400,4.57
2014-11-12,4.36,4.50,4.32,4.39,3600,4.39
2014-11-11,4.32,4.32,4.32,4.32,000,4.32
2014-11-10,4.37,4.37,4.32,4.32,700,4.32
2014-11-07,4.40,4.66,4.33,4.54,19400,4.54
2014-11-06,4.40,4.46,4.38,4.39,4500,4.39
2014-11-05,4.51,4.51,4.38,4.40,6600,4.40
2014-11-04,4.60,4.60,4.50,4.55,4300,4.55
2014-11-03,4.67,4.67,4.63,4.63,1700,4.63
2014-10-31,4.63,4.74,4.61,4.74,700,4.74
2014-10-30,4.60,4.60,4.60,4.60,3200,4.60
2014-10-29,4.64,4.64,4.60,4.60,900,4.60
2014-10-28,4.56,4.89,4.56,4.63,1900,4.63
2014-10-27,4.55,4.60,4.55,4.59,700,4.59
2014-10-24,4.55,4.57,4.55,4.56,1900,4.56
2014-10-23,4.59,4.63,4.55,4.56,6600,4.56
2014-10-22,4.60,4.63,4.55,4.59,2200,4.59
2014-10-21,4.70,4.70,4.62,4.62,1700,4.62
2014-10-20,4.65,4.66,4.60,4.60,7500,4.60
2014-10-17,4.67,4.92,4.67,4.67,1800,4.67
2014-10-16,4.93,4.93,4.66,4.66,300,4.66
2014-10-15,5.00,5.00,4.61,4.62,5100,4.62
2014-10-14,4.84,4.84,4.61,4.77,1800,4.77
2014-10-13,4.82,4.85,4.61,4.74,5900,4.74
2014-10-10,4.84,4.87,4.82,4.82,2300,4.82
2014-10-09,4.83,4.87,4.83,4.83,700,4.83
2014-10-08,4.85,4.95,4.82,4.82,3100,4.82
2014-10-07,4.83,4.90,4.82,4.90,1800,4.90
2014-10-06,4.83,4.90,4.83,4.90,300,4.90
2014-10-03,4.82,4.98,4.80,4.89,2900,4.89
2014-10-02,4.76,5.20,4.76,5.20,4400,5.20
2014-10-01,5.27,5.27,4.70,4.76,2400,4.76
2014-09-30,4.82,4.99,4.75,4.99,1900,4.99
2014-09-29,5.19,5.19,4.68,4.96,2300,4.96
2014-09-26,5.03,5.04,5.03,5.04,7500,5.04
2014-09-25,5.30,5.30,5.08,5.10,3100,5.10
2014-09-24,5.10,5.30,5.10,5.15,7400,5.15
2014-09-23,5.15,5.30,5.15,5.25,12200,4.79
2014-09-22,5.26,5.40,5.22,5.35,12500,4.88
2014-09-19,5.25,5.30,5.15,5.29,12700,4.83
2014-09-18,5.49,5.49,5.10,5.23,17400,4.77
2014-09-17,5.15,5.42,5.15,5.40,4800,4.93
2014-09-16,5.33,5.33,5.06,5.30,8700,4.84
2014-09-15,5.35,5.44,5.22,5.35,15700,4.88
2014-09-12,5.39,5.39,5.39,5.39,000,4.92
2014-09-11,5.50,5.50,5.28,5.39,1300,4.92
2014-09-10,5.47,5.54,5.37,5.54,3300,5.05
2014-09-09,5.37,5.58,5.37,5.42,33800,4.95
2014-09-08,5.26,5.41,5.13,5.41,20300,4.94
2014-09-05,5.25,5.39,5.13,5.34,1000,4.87
2014-09-04,5.15,5.30,5.07,5.22,8800,4.76
2014-09-03,5.05,5.20,5.05,5.20,20100,4.74
2014-09-02,5.11,5.12,5.06,5.12,5500,4.67
2014-08-29,4.96,5.06,4.96,5.06,1000,4.62
2014-08-28,4.96,5.13,4.96,4.99,5500,4.55
2014-08-27,5.00,5.02,5.00,5.02,2900,4.58
2014-08-26,5.00,5.00,4.98,5.00,4500,4.56
2014-08-25,5.06,5.06,4.98,5.00,3000,4.56
2014-08-22,5.01,5.01,5.00,5.00,1900,4.56
2014-08-21,5.05,5.05,4.96,4.98,6000,4.54
2014-08-20,5.01,5.08,5.01,5.07,300,4.63
2014-08-19,5.05,5.13,4.95,5.09,3200,4.64
2014-08-18,5.04,5.04,4.99,4.99,7700,4.55
2014-08-15,5.04,5.15,5.04,5.09,7100,4.64
2014-08-14,5.05,5.15,5.03,5.15,4600,4.70
2014-08-13,5.06,5.19,5.00,5.03,74300,4.59
2014-08-12,5.05,5.16,5.02,5.16,29800,4.71
2014-08-11,5.20,5.20,5.00,5.02,4800,4.58
2014-08-08,5.05,5.05,5.05,5.05,1900,4.61
2014-08-07,4.96,4.97,4.96,4.97,700,4.53
2014-08-06,4.98,5.10,4.95,4.95,6800,4.52
2014-08-05,5.08,5.13,4.97,5.11,4500,4.66
2014-08-04,4.99,5.06,4.96,5.06,5400,4.62
2014-08-01,5.00,5.02,4.97,4.97,1600,4.53
2014-07-31,5.13,5.13,5.05,5.06,1700,4.62
2014-07-30,5.11,5.12,5.10,5.11,4000,4.66
2014-07-29,5.15,5.15,5.10,5.11,3700,4.66
2014-07-28,5.10,5.12,5.10,5.10,4100,4.65
2014-07-25,5.09,5.15,5.00,5.10,12600,4.65
2014-07-24,5.00,5.15,5.00,5.00,23600,4.56
2014-07-23,5.00,5.14,4.96,5.02,126100,4.58
2014-07-22,5.05,5.19,5.05,5.19,31900,4.74
2014-07-21,5.05,5.17,5.00,5.05,35000,4.61
2014-07-18,4.99,5.29,4.98,5.11,4300,4.66
2014-07-17,5.00,5.06,4.95,5.01,13600,4.57
2014-07-16,5.00,5.05,5.00,5.03,3500,4.59
2014-07-15,5.30,5.30,4.95,5.08,5600,4.63
2014-07-14,5.06,5.09,5.02,5.03,1600,4.59
2014-07-11,4.91,5.04,4.91,5.03,6700,4.59
2014-07-10,4.90,5.04,4.87,4.89,7800,4.46
2014-07-09,5.01,5.05,5.01,5.05,17300,4.61
2014-07-08,5.12,5.12,4.62,5.08,28800,4.63
2014-07-07,5.15,5.17,5.11,5.16,1700,4.71
2014-07-03,5.05,5.25,5.05,5.11,4700,4.66
