Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,53.48,54.91,52.79,53.25,22500,53.03
2014-12-30,53.05,54.20,50.33,53.50,19800,53.27
2014-12-29,53.38,54.01,52.85,53.65,33700,53.42
2014-12-26,52.35,53.48,52.16,53.24,25500,53.02
2014-12-24,51.67,52.18,51.00,52.00,8100,51.78
2014-12-23,49.94,51.86,49.94,51.65,19200,51.43
2014-12-22,49.71,50.15,49.30,49.78,28200,49.57
2014-12-19,49.04,49.54,48.21,49.40,66400,49.19
2014-12-18,49.88,49.95,48.30,49.30,26900,49.09
2014-12-17,47.11,49.50,46.90,49.45,29800,49.24
2014-12-16,46.99,47.71,46.99,47.13,41600,46.93
2014-12-15,47.81,47.93,46.80,47.08,59400,46.88
2014-12-12,47.17,48.08,47.17,47.58,27100,47.38
2014-12-11,47.03,48.12,46.69,47.72,44100,47.52
2014-12-10,47.55,47.74,47.00,47.00,36300,46.80
2014-12-09,46.70,48.64,46.60,48.03,45700,47.83
2014-12-08,49.22,49.49,47.51,47.52,12100,47.32
2014-12-05,48.81,49.75,48.39,49.44,21900,49.23
2014-12-04,48.82,49.48,48.51,48.88,42000,48.67
2014-12-03,46.04,49.40,46.03,49.02,53800,48.81
2014-12-02,46.03,46.66,45.92,46.51,9700,46.10
2014-12-01,45.72,45.98,45.38,45.47,23100,45.07
2014-11-28,46.87,46.99,45.50,45.53,8800,45.13
2014-11-26,47.40,47.43,46.04,46.61,9000,46.20
2014-11-25,47.43,47.65,46.22,47.43,9200,47.02
2014-11-24,46.36,47.07,45.85,47.07,16300,46.66
2014-11-21,46.64,46.89,45.58,46.17,19300,45.77
2014-11-20,45.79,46.69,45.71,46.17,9600,45.77
2014-11-19,47.06,47.06,45.76,46.20,16700,45.80
2014-11-18,48.12,48.47,47.14,47.55,14600,47.14
2014-11-17,47.98,49.46,47.69,47.69,13700,47.27
2014-11-14,48.87,49.44,47.59,48.21,15300,47.79
2014-11-13,49.99,49.99,48.18,49.03,14800,48.60
2014-11-12,48.65,49.50,48.33,49.43,19900,49.00
2014-11-11,49.42,49.70,48.58,49.01,26300,48.58
2014-11-10,48.92,49.50,48.19,49.41,24600,48.98
2014-11-07,48.59,49.02,48.16,48.90,23600,48.47
2014-11-06,48.18,48.99,47.23,48.73,18200,48.31
2014-11-05,47.34,48.38,46.76,48.13,27900,47.71
2014-11-04,45.56,47.01,45.20,46.86,15500,46.45
2014-11-03,47.89,47.89,45.48,45.91,29100,45.51
2014-10-31,47.93,49.20,47.07,47.54,44300,47.13
2014-10-30,45.91,47.54,45.30,46.85,34600,46.44
2014-10-29,46.84,47.20,45.64,46.29,19200,45.89
2014-10-28,44.30,47.00,44.13,46.95,38900,46.54
2014-10-27,43.35,44.63,42.72,44.42,18700,44.03
2014-10-24,43.73,44.60,43.00,43.34,15800,42.96
2014-10-23,41.96,45.00,41.06,43.95,42400,43.57
2014-10-22,41.84,42.70,41.22,41.24,18000,40.88
2014-10-21,42.46,42.77,39.00,42.25,86800,41.88
2014-10-20,42.20,43.17,41.33,42.41,30100,42.04
2014-10-17,44.93,44.93,42.13,42.29,27700,41.92
2014-10-16,44.85,45.13,43.47,44.20,43300,43.81
2014-10-15,43.99,45.94,42.81,45.59,27200,45.19
2014-10-14,43.26,44.32,42.84,44.02,32700,43.64
2014-10-13,40.77,43.50,39.49,42.99,37600,42.62
2014-10-10,39.73,41.69,39.71,40.57,24100,40.22
2014-10-09,40.73,40.95,40.00,40.01,36200,39.66
2014-10-08,40.85,41.96,40.20,41.75,22200,41.39
2014-10-07,41.72,41.97,40.77,40.96,12000,40.60
2014-10-06,42.51,42.51,42.03,42.03,19800,41.66
2014-10-03,42.82,43.00,42.07,42.30,28900,41.93
2014-10-02,41.09,43.00,40.17,42.42,14800,42.05
2014-10-01,41.55,41.55,40.82,41.20,41100,40.84
2014-09-30,42.07,42.22,41.19,41.40,54100,41.04
2014-09-29,42.02,42.13,41.39,41.97,26900,41.60
2014-09-26,42.26,42.54,41.61,42.48,18000,42.11
2014-09-25,42.35,44.64,41.69,42.25,44500,41.88
2014-09-24,43.00,43.00,41.33,42.56,40700,42.19
2014-09-23,44.40,45.09,42.83,42.91,21500,42.54
2014-09-22,45.15,45.27,44.51,45.01,24900,44.62
2014-09-19,45.66,46.22,45.11,45.32,57600,44.93
2014-09-18,45.14,45.81,45.14,45.54,11100,45.14
2014-09-17,45.56,45.75,45.30,45.52,19100,45.12
2014-09-16,45.74,45.74,45.51,45.68,12200,45.28
2014-09-15,46.55,46.66,45.82,45.99,16100,45.59
2014-09-12,46.81,46.88,46.00,46.83,33300,46.42
2014-09-11,47.15,47.20,46.32,46.67,15800,46.26
2014-09-10,46.34,47.42,46.03,47.23,13700,46.82
2014-09-09,46.90,46.90,46.00,46.22,19600,45.82
2014-09-08,46.62,47.41,46.49,47.15,10700,46.74
2014-09-05,46.28,46.74,45.65,46.51,10000,46.10
2014-09-04,46.78,46.92,46.37,46.50,16100,46.09
2014-09-03,46.42,47.00,46.37,46.53,28800,46.12
2014-09-02,47.25,47.58,46.65,47.47,17800,46.86
2014-08-29,46.63,46.99,46.63,46.92,11800,46.32
2014-08-28,46.91,47.37,46.51,46.62,13200,46.02
2014-08-27,47.30,47.49,47.00,47.00,5800,46.39
2014-08-26,46.99,47.64,46.86,47.42,25500,46.81
2014-08-25,45.81,47.17,45.81,46.73,9600,46.13
2014-08-22,47.72,47.96,47.18,47.31,12300,46.70
2014-08-21,46.75,47.91,46.23,47.58,49900,46.97
2014-08-20,46.69,47.32,46.69,46.75,36300,46.15
2014-08-19,47.47,47.85,46.67,46.97,19800,46.36
2014-08-18,47.17,47.59,47.09,47.55,14300,46.94
2014-08-15,46.77,46.85,45.56,46.69,37200,46.09
2014-08-14,46.84,47.04,46.22,46.78,20600,46.18
2014-08-13,46.35,46.75,46.35,46.69,15100,46.09
2014-08-12,46.91,47.00,45.87,46.40,15400,45.80
2014-08-11,47.38,48.04,47.11,47.26,19300,46.65
2014-08-08,46.75,47.55,46.75,47.40,14100,46.79
2014-08-07,46.72,47.25,46.40,46.74,9600,46.14
2014-08-06,45.95,46.91,45.95,46.76,15200,46.16
2014-08-05,45.80,46.67,45.61,46.33,16500,45.73
2014-08-04,46.06,46.38,45.51,46.29,23800,45.69
2014-08-01,45.46,46.45,44.96,45.90,32000,45.31
2014-07-31,46.32,46.76,45.13,45.13,21600,44.55
2014-07-30,47.25,47.45,46.70,47.04,11600,46.43
