Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,79.21,79.82,78.39,78.44,306900,78.44
2014-12-30,79.67,79.81,78.96,79.02,505000,79.02
2014-12-29,79.82,80.15,79.50,79.57,442600,79.57
2014-12-26,80.28,80.34,79.65,79.82,306600,79.82
2014-12-24,79.88,80.22,79.47,79.86,521200,79.86
2014-12-23,79.91,80.35,79.59,79.64,991300,79.64
2014-12-22,79.70,80.18,79.40,79.64,1172900,79.64
2014-12-19,76.89,79.35,76.83,79.23,3208100,79.23
2014-12-18,73.83,74.66,73.10,74.49,1576300,74.49
2014-12-17,71.50,73.06,71.10,72.84,1109100,72.84
2014-12-16,71.54,72.58,71.49,71.53,606500,71.53
2014-12-15,71.28,72.07,70.61,71.53,728300,71.53
2014-12-12,72.36,72.78,71.02,71.03,509900,71.03
2014-12-11,71.83,73.64,71.67,72.80,488000,72.80
2014-12-10,73.22,73.55,71.87,71.87,627500,71.87
2014-12-09,72.50,73.52,72.25,73.41,778200,73.41
2014-12-08,72.98,73.55,72.71,73.00,571800,73.00
2014-12-05,72.80,73.16,72.51,73.05,565400,73.05
2014-12-04,72.91,73.43,72.57,72.82,414100,72.82
2014-12-03,72.61,73.19,72.20,73.13,411200,73.13
2014-12-02,71.60,72.52,71.25,72.38,568300,72.38
2014-12-01,72.91,73.15,71.70,71.80,900200,71.80
2014-11-28,73.28,73.59,73.00,73.15,263200,73.15
2014-11-26,72.96,73.45,72.73,73.03,571900,73.03
2014-11-25,73.01,73.23,72.64,73.06,610700,73.06
2014-11-24,72.14,72.98,71.94,72.86,574900,72.86
2014-11-21,72.69,73.00,71.74,71.92,1377200,71.92
2014-11-20,71.51,72.23,71.26,71.93,423100,71.93
2014-11-19,71.84,72.00,71.05,71.79,616400,71.79
2014-11-18,71.70,72.52,71.38,71.98,610900,71.98
2014-11-17,71.60,71.85,71.20,71.81,556200,71.81
2014-11-14,71.27,72.15,70.93,71.76,851600,71.76
2014-11-13,71.42,72.06,70.82,71.16,481000,71.16
2014-11-12,70.82,71.49,70.75,71.31,511600,71.31
2014-11-11,71.07,71.47,70.85,71.10,406400,71.10
2014-11-10,71.13,71.52,70.88,71.11,682700,71.11
2014-11-07,71.50,71.50,70.94,71.00,734000,71.00
2014-11-06,70.56,71.14,70.31,71.09,615800,71.09
2014-11-05,70.16,71.09,70.00,70.41,792900,70.41
2014-11-04,71.94,72.30,71.11,71.42,1357500,69.72
2014-11-03,73.24,73.86,72.45,72.54,630600,70.81
2014-10-31,73.70,73.95,72.72,73.24,675900,71.50
2014-10-30,71.47,72.86,71.17,72.69,502000,70.96
2014-10-29,72.00,72.17,71.20,71.81,453400,70.10
2014-10-28,71.66,71.83,71.29,71.81,745000,70.10
2014-10-27,71.11,71.35,70.62,71.27,634600,69.57
2014-10-24,71.06,71.36,70.80,71.22,702300,69.52
2014-10-23,71.01,71.37,70.74,71.04,1509700,69.35
2014-10-22,71.42,71.72,70.33,70.35,688900,68.68
2014-10-21,69.62,71.17,69.37,71.17,816800,69.48
2014-10-20,69.29,69.35,68.70,69.05,811800,67.41
2014-10-17,68.77,69.70,68.77,69.29,1342200,67.64
2014-10-16,67.47,68.67,66.75,68.43,788200,66.80
2014-10-15,67.11,68.37,66.76,68.06,1099800,66.44
2014-10-14,67.99,68.42,67.58,67.74,752000,66.13
2014-10-13,68.77,68.91,67.31,67.44,533500,65.83
2014-10-10,69.40,69.74,68.53,68.56,644300,66.93
2014-10-09,71.01,71.28,69.28,69.46,626400,67.81
2014-10-08,68.90,71.00,68.90,70.98,770000,69.29
2014-10-07,69.45,69.75,68.63,68.72,594400,67.08
2014-10-06,70.69,71.08,69.73,69.90,613300,68.24
2014-10-03,68.54,70.48,68.40,70.34,1240800,68.67
2014-10-02,68.53,68.63,67.43,68.29,676800,66.66
2014-10-01,70.22,70.50,68.39,68.65,1039100,67.02
2014-09-30,67.59,71.61,67.26,70.59,2350600,68.91
2014-09-29,65.84,66.44,65.79,65.95,687400,64.38
2014-09-26,66.03,66.58,65.88,66.27,280700,64.69
2014-09-25,66.69,66.85,65.81,65.99,332300,64.42
2014-09-24,66.44,67.06,66.35,66.90,297500,65.31
2014-09-23,66.97,67.22,66.41,66.43,325000,64.85
2014-09-22,67.12,67.29,66.72,67.09,386700,65.49
2014-09-19,67.58,67.59,67.02,67.16,1427800,65.56
2014-09-18,66.99,67.32,66.83,67.22,308600,65.62
2014-09-17,67.13,67.24,66.45,66.92,434300,65.33
2014-09-16,66.71,67.10,66.20,66.86,467900,65.27
2014-09-15,66.59,67.19,66.33,66.87,564400,65.28
2014-09-12,66.35,66.48,66.05,66.34,298100,64.76
2014-09-11,66.04,66.53,65.83,66.45,242600,64.87
2014-09-10,66.44,66.50,65.99,66.42,207300,64.84
2014-09-09,66.36,66.66,66.05,66.35,440100,64.77
2014-09-08,66.47,66.78,66.07,66.32,299000,64.74
2014-09-05,66.38,66.80,66.13,66.66,431600,65.07
2014-09-04,66.66,66.85,66.38,66.56,615200,64.98
2014-09-03,66.91,67.11,66.30,66.36,305200,64.78
2014-09-02,66.42,66.88,66.13,66.63,454400,65.04
2014-08-29,66.15,66.50,65.62,66.14,413500,64.57
2014-08-28,65.54,66.11,65.42,65.88,218000,64.31
2014-08-27,66.01,66.22,65.64,65.83,223600,64.26
2014-08-26,66.26,66.39,65.94,66.02,328000,64.45
2014-08-25,66.15,66.25,65.85,66.06,253000,64.49
2014-08-22,65.75,66.19,65.41,65.73,606600,64.17
2014-08-21,65.96,66.04,65.72,65.91,556900,64.34
2014-08-20,65.96,66.03,65.65,65.96,463500,64.39
2014-08-19,65.87,66.02,65.75,65.89,460100,64.32
2014-08-18,65.70,66.09,65.65,65.83,775800,64.26
2014-08-15,63.85,65.86,62.65,65.38,564600,63.82
2014-08-14,65.46,65.71,65.40,65.50,356300,63.94
2014-08-13,65.41,65.58,65.32,65.51,448600,63.95
2014-08-12,65.00,65.44,64.86,65.27,720900,63.72
2014-08-11,64.77,65.29,64.43,65.00,736300,63.45
2014-08-08,63.30,64.48,62.92,64.40,456200,62.87
2014-08-07,63.20,63.54,62.86,63.11,370300,61.61
2014-08-06,63.04,63.35,62.75,62.99,476300,61.49
2014-08-05,63.61,64.25,63.13,63.56,693500,62.05
2014-08-04,62.86,64.10,62.60,63.99,913800,62.47
2014-08-01,62.35,62.91,62.24,62.60,387000,61.11
2014-07-31,63.07,63.07,62.49,62.60,390900,61.11
2014-07-30,63.44,64.08,62.93,63.40,322600,61.89
2014-07-29,63.53,63.80,63.10,63.12,259700,61.62
2014-07-28,63.42,63.71,62.99,63.56,280200,62.05
2014-07-25,64.01,64.29,63.37,63.52,351400,62.01
2014-07-24,64.33,64.49,64.01,64.11,218700,62.58
2014-07-23,64.27,64.38,63.97,64.03,340800,62.51
2014-07-22,64.23,64.47,63.86,64.38,516500,62.85
2014-07-21,63.84,64.01,63.58,63.77,469800,62.25
2014-07-18,63.71,64.14,63.41,64.04,569000,62.52
2014-07-17,64.16,64.44,63.36,63.45,624200,61.94
2014-07-16,63.35,64.91,63.00,64.51,1145200,62.97
2014-07-15,63.24,63.56,62.59,62.85,527300,61.35
2014-07-14,62.99,63.59,62.99,63.24,408600,61.73
2014-07-11,63.11,63.13,62.48,62.56,495300,61.07
2014-07-10,62.77,63.28,62.22,63.16,238500,61.66
2014-07-09,63.73,64.45,63.27,63.62,238800,62.11
2014-07-08,63.94,64.07,63.33,63.50,345000,61.99
