Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,42.16,44.00,41.91,42.16,326100,42.16
2014-12-30,42.08,42.40,41.26,41.89,208200,41.89
2014-12-29,42.36,43.34,40.66,42.18,212100,42.18
2014-12-26,41.72,42.66,41.09,42.24,170900,42.24
2014-12-24,40.96,42.91,40.96,41.52,182500,41.52
2014-12-23,43.63,44.64,40.96,41.01,457200,41.01
2014-12-22,45.29,45.34,41.81,42.68,459500,42.68
2014-12-19,47.03,47.18,45.00,45.34,691900,45.34
2014-12-18,44.00,47.17,43.05,46.69,878700,46.69
2014-12-17,41.50,43.34,40.42,43.13,403500,43.13
2014-12-16,41.00,42.39,40.15,41.31,339900,41.31
2014-12-15,41.68,43.95,39.81,41.08,501000,41.08
2014-12-12,38.76,41.81,38.76,41.00,474100,41.00
2014-12-11,39.77,40.98,38.94,39.18,264800,39.18
2014-12-10,41.00,42.29,39.45,39.65,346100,39.65
2014-12-09,39.56,41.39,38.78,41.32,366600,41.32
2014-12-08,39.40,40.44,39.30,39.87,428900,39.87
2014-12-05,38.23,39.25,38.19,38.63,211100,38.63
2014-12-04,38.13,39.08,37.93,38.18,258700,38.18
2014-12-03,37.77,38.37,37.26,38.27,167900,38.27
2014-12-02,36.70,37.89,36.54,37.80,406800,37.80
2014-12-01,38.48,38.70,35.50,36.65,698600,36.65
2014-11-28,39.29,40.50,38.53,38.73,444300,38.73
2014-11-26,38.82,40.25,38.76,40.09,312500,40.09
2014-11-25,38.92,39.75,38.40,38.90,287700,38.90
2014-11-24,38.99,40.15,38.51,38.92,366300,38.92
2014-11-21,39.25,39.38,38.34,38.75,230700,38.75
2014-11-20,37.96,39.05,37.96,38.97,239100,38.97
2014-11-19,38.83,39.70,38.03,38.07,372800,38.07
2014-11-18,38.22,39.72,38.14,38.41,290500,38.41
2014-11-17,38.65,40.00,37.62,37.89,297000,37.89
2014-11-14,38.84,39.99,38.24,38.57,248500,38.57
2014-11-13,39.61,39.97,37.80,38.71,605200,38.71
2014-11-12,40.29,41.86,38.29,39.65,816900,39.65
2014-11-11,38.98,41.67,37.60,41.52,1227400,41.52
2014-11-10,36.06,37.36,36.06,37.06,406900,37.06
2014-11-07,37.29,37.49,36.00,36.19,317000,36.19
2014-11-06,36.70,38.15,36.70,37.37,390100,37.37
2014-11-05,38.99,38.99,35.53,36.29,404500,36.29
2014-11-04,37.19,38.97,37.00,38.65,332200,38.65
2014-11-03,40.65,40.90,37.05,37.66,658600,37.66
2014-10-31,42.28,43.00,40.32,40.67,365000,40.67
2014-10-30,41.69,42.60,40.48,41.99,343900,41.99
2014-10-29,39.44,42.00,38.81,41.70,867400,41.70
2014-10-28,38.75,39.50,38.43,39.02,373600,39.02
2014-10-27,38.67,39.41,38.01,38.90,381500,38.90
2014-10-24,38.24,39.98,38.24,38.99,327700,38.99
2014-10-23,38.84,41.00,38.05,38.38,428000,38.38
2014-10-22,38.85,39.99,38.11,38.69,234800,38.69
2014-10-21,39.48,40.44,38.25,38.81,392200,38.81
2014-10-20,37.41,39.49,37.10,39.03,321800,39.03
2014-10-17,38.89,39.30,36.63,37.56,461700,37.56
2014-10-16,35.00,38.89,34.17,38.38,890700,38.38
2014-10-15,34.27,37.65,33.00,37.28,556400,37.28
2014-10-14,35.80,36.36,34.66,34.99,586900,34.99
2014-10-13,37.40,37.40,35.41,35.57,546100,35.57
2014-10-10,39.10,40.08,37.25,37.36,471200,37.36
2014-10-09,40.01,40.61,39.02,39.07,294000,39.07
2014-10-08,39.44,40.87,38.45,40.18,567400,40.18
2014-10-07,39.09,40.84,38.36,39.75,466500,39.75
2014-10-06,42.53,43.47,38.57,39.30,583300,39.30
2014-10-03,42.15,42.64,41.01,42.28,450100,42.28
2014-10-02,40.37,43.23,39.34,41.67,983600,41.67
2014-10-01,38.78,39.58,37.30,38.97,628100,38.97
2014-09-30,39.47,40.29,38.11,38.78,653900,38.78
2014-09-29,38.21,39.88,38.02,39.30,564500,39.30
2014-09-26,36.49,39.42,36.38,38.16,811700,38.16
2014-09-25,35.44,37.00,35.00,36.20,587200,36.20
2014-09-24,33.14,35.77,33.13,35.43,601100,35.43
2014-09-23,32.76,34.17,32.10,33.04,267900,33.04
2014-09-22,33.20,33.79,32.40,33.03,347600,33.03
2014-09-19,34.34,34.68,33.11,33.71,705300,33.71
2014-09-18,34.13,34.66,33.35,34.07,313900,34.07
2014-09-17,33.38,34.54,32.55,33.96,279700,33.96
2014-09-16,31.48,33.70,31.41,33.41,460000,33.41
2014-09-15,31.16,32.12,30.90,31.75,763800,31.75
2014-09-12,33.62,33.86,32.25,32.42,493800,32.42
2014-09-11,34.04,34.53,33.18,33.62,308300,33.62
2014-09-10,32.47,34.70,32.47,34.58,380100,34.58
2014-09-09,33.70,33.93,31.94,32.56,528900,32.56
2014-09-08,34.01,34.42,33.35,33.50,466700,33.50
2014-09-05,33.66,34.50,33.29,34.24,392800,34.24
2014-09-04,33.67,34.76,33.50,33.69,333000,33.69
2014-09-03,34.05,34.69,33.54,33.69,385300,33.69
2014-09-02,34.17,35.00,33.30,34.05,532500,34.05
2014-08-29,35.00,35.43,34.58,35.32,184700,35.32
2014-08-28,34.53,35.50,34.50,34.88,318500,34.88
2014-08-27,35.43,35.55,34.27,34.54,521500,34.54
2014-08-26,35.00,36.00,34.81,35.55,240900,35.55
2014-08-25,37.47,37.47,34.91,35.48,512500,35.48
2014-08-22,33.62,35.79,33.24,35.55,397700,35.55
2014-08-21,35.40,35.86,34.06,34.19,556000,34.19
2014-08-20,35.06,35.07,33.78,34.14,343700,34.14
2014-08-19,36.82,36.99,35.26,35.38,467800,35.38
2014-08-18,35.17,37.73,35.07,36.77,675400,36.77
2014-08-15,32.83,34.85,31.56,34.75,604500,34.75
2014-08-14,33.60,34.24,32.22,32.65,411000,32.65
2014-08-13,33.00,34.80,32.43,33.52,863900,33.52
