Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,93.46,94.51,93.41,94.20,292100,94.20
2015-04-07,93.63,94.45,93.47,93.65,347900,93.65
2015-04-06,92.32,93.82,91.82,93.61,353600,93.61
2015-04-02,93.79,94.05,93.12,93.20,214600,93.20
2015-04-01,93.76,93.82,92.68,93.41,208500,93.41
2015-03-31,94.68,94.87,93.87,94.02,136300,94.02
2015-03-30,94.50,95.34,93.95,95.09,425100,95.09
2015-03-27,91.34,94.24,91.13,93.89,382400,93.89
2015-03-26,90.42,91.89,89.28,91.30,473500,91.30
2015-03-25,97.01,97.12,92.46,92.57,386400,92.57
2015-03-24,98.25,98.25,97.28,97.34,193400,97.34
2015-03-23,99.03,99.14,98.14,98.18,133700,98.18
2015-03-20,98.33,99.31,98.20,99.00,154100,99.00
2015-03-19,97.30,97.86,97.16,97.62,94400,97.62
2015-03-18,96.65,97.87,95.42,97.40,155500,97.40
2015-03-17,96.68,96.85,96.14,96.68,146600,96.68
2015-03-16,96.45,97.41,96.32,97.39,219200,97.39
2015-03-13,95.52,96.10,94.90,95.93,179700,95.93
2015-03-12,94.32,95.32,94.25,95.29,391100,95.29
2015-03-11,95.59,96.30,95.29,95.32,118700,95.32
2015-03-10,96.27,96.50,95.09,95.11,383500,95.11
2015-03-09,96.52,97.13,96.42,96.90,173300,96.90
2015-03-06,97.29,97.45,96.33,96.60,214200,96.60
2015-03-05,97.89,98.17,97.20,97.61,244500,97.61
2015-03-04,97.41,97.58,96.45,97.55,189900,97.55
2015-03-03,99.17,99.17,97.55,97.68,397400,97.68
2015-03-02,97.68,99.57,97.67,99.52,288600,99.52
2015-02-27,97.13,97.34,96.56,96.86,116700,96.86
2015-02-26,96.95,97.36,96.64,97.15,98500,97.15
2015-02-25,96.78,97.01,96.20,96.49,129300,96.49
2015-02-24,95.71,97.03,95.06,96.99,280800,96.99
2015-02-23,96.20,96.20,95.37,95.71,224400,95.71
2015-02-20,95.48,96.38,95.25,96.31,634300,96.31
2015-02-19,95.34,96.02,95.20,95.74,217200,95.74
2015-02-18,95.62,95.76,95.10,95.48,152900,95.48
2015-02-17,95.39,95.84,95.10,95.73,797800,95.73
2015-02-13,95.19,95.71,94.61,95.43,245700,95.43
2015-02-12,93.55,94.79,93.55,94.76,311800,94.76
2015-02-11,92.98,93.60,92.67,93.27,321900,93.27
2015-02-10,91.04,93.00,90.79,92.97,419700,92.97
2015-02-09,90.76,90.76,89.70,89.93,507800,89.93
2015-02-06,91.52,92.28,90.66,90.89,335400,90.89
2015-02-05,90.88,91.43,90.39,91.39,233000,91.39
2015-02-04,89.93,91.15,89.90,90.51,336000,90.51
2015-02-03,88.98,90.21,88.85,90.17,210400,90.17
2015-02-02,88.53,88.88,86.75,88.60,309100,88.60
2015-01-30,89.12,90.31,88.24,88.37,485400,88.37
2015-01-29,89.78,90.42,88.46,90.14,219400,90.14
2015-01-28,91.76,92.49,90.02,90.08,314200,90.08
2015-01-27,90.97,91.36,89.95,90.51,353600,90.51
2015-01-26,91.78,92.36,91.10,92.15,117900,92.15
2015-01-23,91.81,92.40,91.53,91.98,188200,91.98
2015-01-22,91.59,92.30,89.89,92.22,455100,92.22
2015-01-21,90.47,92.07,90.08,91.67,144500,91.67
2015-01-20,90.17,90.97,89.48,90.64,131800,90.64
2015-01-16,88.43,89.83,88.05,89.71,292300,89.71
2015-01-15,90.15,90.64,88.67,88.74,221000,88.74
2015-01-14,89.09,90.34,88.53,89.45,413900,89.45
2015-01-13,91.51,92.63,89.50,89.96,173600,89.96
2015-01-12,92.23,92.23,90.41,90.85,190800,90.85
2015-01-09,92.95,93.00,91.52,92.63,140300,92.63
2015-01-08,90.82,92.73,90.82,92.58,211000,92.58
2015-01-07,89.54,90.31,89.01,89.91,240400,89.91
2015-01-06,91.12,91.21,88.77,89.03,374600,89.03
2015-01-05,92.42,92.59,91.03,91.06,206500,91.06
2015-01-02,93.30,93.83,91.94,92.81,221000,92.81
