Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,0.95,0.98,0.93,0.98,2469800,0.98
2014-12-30,0.97,0.99,0.93,0.97,2308500,0.97
2014-12-29,0.99,1.02,0.98,1.00,2186200,1.00
2014-12-26,0.99,1.03,0.98,1.00,1518900,1.00
2014-12-24,1.00,1.01,0.98,0.99,713300,0.99
2014-12-23,1.03,1.05,0.98,0.99,3100600,0.99
2014-12-22,1.13,1.19,1.02,1.04,1462400,1.04
2014-12-19,1.01,1.20,1.01,1.13,6836600,1.13
2014-12-18,1.05,1.06,1.02,1.05,965200,1.05
2014-12-17,1.02,1.05,1.01,1.03,1417000,1.03
2014-12-16,1.04,1.05,0.97,1.03,1033300,1.03
2014-12-15,1.09,1.11,1.03,1.05,1148400,1.05
2014-12-12,1.04,1.10,1.04,1.08,542300,1.08
2014-12-11,1.05,1.11,1.03,1.04,526900,1.04
2014-12-10,1.07,1.13,1.02,1.03,681400,1.03
2014-12-09,1.02,1.11,0.96,1.08,1080500,1.08
2014-12-08,1.11,1.11,1.02,1.02,1360800,1.02
2014-12-05,1.12,1.17,1.10,1.11,674200,1.11
2014-12-04,1.14,1.16,1.13,1.14,375800,1.14
2014-12-03,1.17,1.18,1.12,1.14,738000,1.14
2014-12-02,1.17,1.19,1.13,1.16,1122800,1.16
2014-12-01,1.27,1.30,1.19,1.19,1308800,1.19
2014-11-28,1.24,1.32,1.23,1.29,880800,1.29
2014-11-26,1.21,1.30,1.20,1.26,910200,1.26
2014-11-25,1.24,1.27,1.20,1.22,1474900,1.22
2014-11-24,1.32,1.32,1.25,1.27,2126800,1.27
2014-11-21,1.28,1.38,1.22,1.31,2935200,1.31
2014-11-20,1.23,1.31,1.18,1.24,1863400,1.24
2014-11-19,1.29,1.37,1.22,1.25,3419200,1.25
2014-11-18,1.10,1.37,1.08,1.32,10979100,1.32
2014-11-17,0.94,1.09,0.94,1.07,4055300,1.07
2014-11-14,0.97,0.98,0.91,0.95,1012800,0.95
2014-11-13,0.91,0.96,0.90,0.95,1745500,0.95
2014-11-12,0.86,0.90,0.80,0.89,1263300,0.89
2014-11-11,0.84,0.85,0.78,0.84,2497600,0.84
2014-11-10,0.87,0.90,0.82,0.83,2972500,0.83
2014-11-07,0.91,0.93,0.88,0.90,1813400,0.90
2014-11-06,1.00,1.01,0.93,0.94,2912000,0.94
2014-11-05,0.90,0.98,0.90,0.98,2672800,0.98
2014-11-04,0.90,0.93,0.90,0.92,401600,0.92
2014-11-03,0.95,0.96,0.92,0.93,733900,0.93
2014-10-31,0.89,0.96,0.89,0.94,1400100,0.94
2014-10-30,0.90,0.91,0.89,0.90,684700,0.90
2014-10-29,0.91,0.92,0.89,0.90,1234100,0.90
2014-10-28,0.90,0.95,0.90,0.92,1056600,0.92
2014-10-27,0.94,0.96,0.89,0.91,3898100,0.91
2014-10-24,1.02,1.05,0.94,0.94,5213400,0.94
2014-10-23,1.07,1.07,1.04,1.05,1009600,1.05
2014-10-22,1.03,1.10,1.01,1.06,1463300,1.06
2014-10-21,1.07,1.07,1.00,1.05,828500,1.05
2014-10-20,1.05,1.07,1.01,1.05,807800,1.05
2014-10-17,1.05,1.08,1.04,1.05,877000,1.05
2014-10-16,0.99,1.05,0.97,1.05,1563500,1.05
2014-10-15,0.98,1.01,0.97,0.99,801700,0.99
2014-10-14,0.99,1.01,0.97,1.01,708500,1.01
2014-10-13,1.00,1.00,0.96,0.99,640400,0.99
2014-10-10,0.98,1.01,0.97,1.00,1520300,1.00
2014-10-09,0.98,1.01,0.96,0.98,1272800,0.98
2014-10-08,1.01,1.04,0.94,1.00,3442100,1.00
2014-10-07,1.04,1.05,1.00,1.02,1083600,1.02
2014-10-06,1.06,1.07,1.04,1.04,1245600,1.04
2014-10-03,1.03,1.07,1.02,1.06,1630300,1.06
2014-10-02,1.04,1.05,0.98,1.03,3835600,1.03
2014-10-01,1.08,1.10,1.02,1.03,3251200,1.03
2014-09-30,1.13,1.15,1.09,1.09,1990500,1.09
2014-09-29,1.09,1.15,1.07,1.13,1436800,1.13
2014-09-26,1.11,1.14,1.07,1.11,2433700,1.11
2014-09-25,1.17,1.17,1.11,1.12,2305000,1.12
2014-09-24,1.15,1.25,1.10,1.17,5192000,1.17
2014-09-23,1.25,1.28,1.15,1.17,4229000,1.17
2014-09-22,1.29,1.30,1.20,1.25,3509800,1.25
2014-09-19,1.35,1.36,1.27,1.30,3197400,1.30
2014-09-18,1.38,1.38,1.33,1.35,2010600,1.35
2014-09-17,1.33,1.38,1.33,1.37,1827800,1.37
2014-09-16,1.40,1.42,1.33,1.35,4842600,1.35
2014-09-15,1.46,1.46,1.40,1.42,3651800,1.42
2014-09-12,1.46,1.50,1.36,1.49,14594700,1.49
2014-09-11,2.03,2.03,1.75,1.81,5086400,1.81
2014-09-10,1.99,2.09,1.96,2.00,6250400,2.00
2014-09-09,2.04,2.06,1.96,1.98,3531400,1.98
2014-09-08,1.94,2.08,1.91,2.05,4301500,2.05
2014-09-05,1.92,1.94,1.86,1.94,1461500,1.94
2014-09-04,1.86,1.94,1.85,1.91,2719000,1.91
2014-09-03,1.95,1.95,1.84,1.87,2018300,1.87
2014-09-02,1.95,1.95,1.91,1.93,2064500,1.93
2014-08-29,1.92,1.95,1.90,1.93,1887900,1.93
2014-08-28,1.92,1.95,1.89,1.92,2026200,1.92
2014-08-27,1.91,1.95,1.88,1.93,3271600,1.93
2014-08-26,1.82,1.92,1.82,1.90,5091600,1.90
2014-08-25,1.85,1.86,1.81,1.84,1695600,1.84
2014-08-22,1.80,1.84,1.74,1.83,1452100,1.83
2014-08-21,1.82,1.85,1.79,1.79,1340900,1.79
2014-08-20,1.87,1.88,1.81,1.82,2272900,1.82
2014-08-19,1.87,1.87,1.82,1.85,1828000,1.85
2014-08-18,1.79,1.88,1.79,1.86,3543500,1.86
2014-08-15,1.83,1.87,1.77,1.82,3046900,1.82
2014-08-14,1.65,1.85,1.64,1.84,6758200,1.84
2014-08-13,1.64,1.67,1.62,1.65,1244700,1.65
2014-08-12,1.68,1.70,1.62,1.64,2098300,1.64
2014-08-11,1.67,1.72,1.65,1.67,2677000,1.67
2014-08-08,1.68,1.72,1.55,1.66,2575100,1.66
2014-08-07,1.70,1.75,1.63,1.66,2286900,1.66
2014-08-06,1.66,1.70,1.63,1.67,1922200,1.67
2014-08-05,1.74,1.74,1.65,1.66,1160500,1.66
2014-08-04,1.67,1.75,1.66,1.72,1794900,1.72
2014-08-01,1.77,1.79,1.62,1.65,3453800,1.65
2014-07-31,1.73,1.82,1.66,1.80,14874300,1.80
2014-07-30,1.59,1.61,1.57,1.59,910500,1.59
2014-07-29,1.53,1.58,1.52,1.57,916600,1.57
2014-07-28,1.51,1.55,1.51,1.54,994600,1.54
2014-07-25,1.55,1.58,1.49,1.50,2360200,1.50
2014-07-24,1.60,1.60,1.55,1.57,996100,1.57
2014-07-23,1.58,1.62,1.55,1.58,1314700,1.58
2014-07-22,1.53,1.62,1.53,1.58,1704500,1.58
2014-07-21,1.50,1.52,1.47,1.52,674200,1.52
2014-07-18,1.50,1.55,1.48,1.51,956700,1.51
2014-07-17,1.51,1.54,1.48,1.49,1107400,1.49
2014-07-16,1.57,1.58,1.48,1.51,1978200,1.51
2014-07-15,1.60,1.61,1.53,1.55,1262100,1.55
2014-07-14,1.59,1.62,1.57,1.60,1122100,1.60
2014-07-11,1.60,1.61,1.56,1.59,2122700,1.59
2014-07-10,1.60,1.62,1.57,1.61,679200,1.61
2014-07-09,1.60,1.65,1.59,1.62,651100,1.62
2014-07-08,1.67,1.67,1.59,1.60,1670400,1.60
2014-07-07,1.72,1.74,1.66,1.66,1052400,1.66
2014-07-03,1.72,1.73,1.69,1.70,564100,1.70
2014-07-02,1.70,1.75,1.67,1.73,2634600,1.73
2014-07-01,1.77,1.78,1.66,1.70,4052100,1.70
2014-06-30,1.70,1.76,1.69,1.76,2886600,1.76
2014-06-27,1.67,1.72,1.67,1.69,1010600,1.69
2014-06-26,1.75,1.76,1.65,1.67,2565800,1.67
2014-06-25,1.63,1.70,1.61,1.69,1781300,1.69
2014-06-24,1.58,1.64,1.55,1.62,2437600,1.62
2014-06-23,1.61,1.62,1.56,1.56,1624200,1.56
2014-06-20,1.60,1.70,1.56,1.60,3351400,1.60
2014-06-19,1.66,1.68,1.58,1.60,3582600,1.60
2014-06-18,1.51,1.57,1.50,1.55,794700,1.55
2014-06-17,1.55,1.55,1.51,1.52,832700,1.52
2014-06-16,1.53,1.56,1.53,1.54,1157400,1.54
2014-06-13,1.54,1.56,1.52,1.54,969900,1.54
2014-06-12,1.51,1.65,1.51,1.53,3175300,1.53
2014-06-11,1.53,1.56,1.50,1.54,1002500,1.54
2014-06-10,1.49,1.52,1.49,1.50,846700,1.50
2014-06-09,1.44,1.51,1.44,1.50,1692300,1.50
2014-06-06,1.42,1.47,1.42,1.46,683100,1.46
2014-06-05,1.44,1.45,1.40,1.44,598100,1.44
2014-06-04,1.36,1.43,1.35,1.43,865700,1.43
2014-06-03,1.33,1.41,1.32,1.37,1031900,1.37
2014-06-02,1.42,1.42,1.34,1.36,744300,1.36
2014-05-30,1.41,1.47,1.40,1.41,644000,1.41
2014-05-29,1.45,1.48,1.39,1.43,1204700,1.43
2014-05-28,1.39,1.53,1.38,1.46,2326700,1.46
2014-05-27,1.33,1.41,1.33,1.40,1656000,1.40
2014-05-23,1.29,1.35,1.29,1.35,864600,1.35
