Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,12.87,12.87,12.87,12.87,000,12.87
2014-12-30,12.87,12.87,12.87,12.87,000,12.87
2014-12-29,12.87,12.87,12.87,12.87,100,12.87
2014-12-26,11.83,11.83,11.83,11.83,000,11.83
2014-12-24,12.00,12.00,12.00,12.00,000,12.00
2014-12-23,11.83,11.83,11.83,11.83,000,11.83
2014-12-22,11.83,11.83,11.83,11.83,000,11.83
2014-12-19,11.91,11.91,11.83,11.83,200,11.83
2014-12-18,12.55,12.55,12.55,12.55,000,12.55
2014-12-17,12.55,12.55,12.52,12.55,800,12.55
2014-12-16,14.10,14.10,14.10,14.10,000,14.10
2014-12-15,14.10,14.10,14.10,14.10,000,14.10
2014-12-12,15.05,15.05,13.95,14.10,3800,14.10
2014-12-11,15.05,15.05,15.05,15.05,300,15.05
2014-12-10,15.00,15.00,15.00,15.00,000,15.00
2014-12-09,15.00,15.00,15.00,15.00,000,15.00
2014-12-08,15.00,15.00,15.00,15.00,000,15.00
2014-12-05,15.00,15.00,15.00,15.00,500,15.00
2014-12-04,15.00,15.00,14.99,15.00,2000,15.00
2014-12-03,15.06,15.06,15.06,15.06,000,15.06
2014-12-02,15.06,15.06,15.06,15.06,000,15.06
2014-12-01,15.06,15.06,15.06,15.06,000,15.06
2014-11-28,15.06,15.06,15.06,15.06,000,15.06
2014-11-26,15.06,15.06,15.06,15.06,000,15.06
2014-11-25,15.06,15.06,15.06,15.06,000,15.06
2014-11-24,15.06,15.06,15.06,15.06,000,15.06
2014-11-21,15.06,15.06,15.06,15.06,000,15.06
2014-11-20,15.06,15.06,15.06,15.06,000,15.06
2014-11-19,15.06,15.06,15.06,15.06,000,15.06
2014-11-18,15.06,15.06,15.06,15.06,000,15.06
2014-11-17,15.06,15.06,15.06,15.06,000,15.06
2014-11-14,15.06,15.06,15.06,15.06,000,15.06
2014-11-13,15.06,15.06,15.06,15.06,000,15.06
2014-11-12,15.06,15.06,15.06,15.06,000,15.06
2014-11-11,15.06,15.06,15.06,15.06,000,15.06
2014-11-10,15.06,15.06,15.06,15.06,000,15.06
2014-11-07,15.06,15.06,15.06,15.06,000,15.06
2014-11-06,15.06,15.06,15.06,15.06,000,15.06
2014-11-05,15.06,15.06,15.06,15.06,000,15.06
2014-11-04,15.06,15.06,15.06,15.06,000,15.06
2014-11-03,15.06,15.06,15.06,15.06,000,15.06
2014-10-31,15.06,15.06,15.06,15.06,000,15.06
2014-10-30,15.06,15.06,15.06,15.06,000,15.06
2014-10-29,15.06,15.06,15.06,15.06,000,15.06
2014-10-28,15.06,15.06,15.06,15.06,000,15.06
2014-10-27,15.06,15.06,15.06,15.06,000,15.06
2014-10-24,15.06,15.06,15.06,15.06,000,15.06
2014-10-23,15.06,15.06,15.06,15.06,000,15.06
2014-10-22,15.06,15.06,15.06,15.06,000,15.06
2014-10-21,15.06,15.06,15.06,15.06,000,15.06
2014-10-20,15.06,15.06,15.06,15.06,000,15.06
2014-10-17,15.06,15.06,15.06,15.06,000,15.06
2014-10-16,15.06,15.06,15.06,15.06,000,15.06
2014-10-15,15.06,15.06,15.06,15.06,000,15.06
2014-10-14,15.06,15.06,15.06,15.06,000,15.06
2014-10-13,15.06,15.06,15.06,15.06,000,15.06
2014-10-10,15.06,15.06,15.06,15.06,000,15.06
2014-10-09,15.06,15.06,15.06,15.06,000,15.06
2014-10-08,15.06,15.06,15.06,15.06,000,15.06
2014-10-07,15.06,15.06,15.06,15.06,000,15.06
2014-10-06,15.06,15.06,15.06,15.06,000,15.06
2014-10-03,15.06,15.06,15.06,15.06,000,15.06
2014-10-02,15.06,15.06,15.06,15.06,000,15.06
2014-10-01,15.06,15.06,15.06,15.06,000,15.06
2014-09-30,15.06,15.06,15.06,15.06,000,15.06
2014-09-29,15.06,15.06,15.06,15.06,000,15.06
2014-09-26,15.06,15.06,15.06,15.06,000,15.06
2014-09-25,15.06,15.06,15.06,15.06,000,15.06
2014-09-24,15.06,15.06,15.06,15.06,000,15.06
2014-09-23,15.06,15.06,15.06,15.06,000,15.06
2014-09-22,14.95,15.07,14.95,15.06,400,15.06
2014-09-19,15.29,15.29,15.29,15.29,000,15.29
2014-09-18,15.29,15.29,15.29,15.29,000,15.29
2014-09-17,15.29,15.29,15.29,15.29,000,15.29
2014-09-16,15.29,15.29,15.29,15.29,000,15.29
2014-09-15,15.29,15.29,15.29,15.29,000,15.29
2014-09-12,15.29,15.29,15.29,15.29,000,15.29
2014-09-11,15.29,15.29,15.29,15.29,000,15.29
