Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,22.08,22.21,21.13,21.14,968700,21.14
2014-12-30,22.32,22.55,21.93,21.97,589900,21.97
2014-12-29,22.59,22.70,22.08,22.32,821400,22.32
2014-12-26,22.39,23.00,22.39,22.61,416400,22.61
2014-12-24,22.34,22.95,22.29,22.40,399400,22.40
2014-12-23,20.95,22.28,20.90,22.26,1602900,22.26
2014-12-22,20.06,20.88,19.90,20.87,647700,20.87
2014-12-19,20.25,20.71,20.00,20.08,1439600,20.08
2014-12-18,20.80,20.83,20.23,20.28,745100,20.28
2014-12-17,20.46,20.63,20.09,20.61,705500,20.61
2014-12-16,20.10,20.80,20.00,20.34,654800,20.34
2014-12-15,20.51,20.59,19.91,20.16,893600,20.16
2014-12-12,21.12,21.33,20.39,20.42,747500,20.42
2014-12-11,21.82,21.95,21.28,21.35,1063800,21.35
2014-12-10,23.06,23.09,21.74,21.78,1079900,21.78
2014-12-09,22.22,23.31,22.04,23.16,569100,23.16
2014-12-08,22.26,22.82,20.32,22.44,536000,22.44
2014-12-05,22.11,22.59,22.09,22.25,693300,22.25
2014-12-04,22.31,22.56,21.86,22.08,626200,22.08
2014-12-03,21.60,22.43,21.53,22.40,646800,22.40
2014-12-02,21.44,21.90,21.25,21.62,609100,21.62
2014-12-01,20.76,21.66,20.56,21.35,724600,21.35
2014-11-28,20.89,21.11,20.71,20.86,349100,20.86
2014-11-26,21.18,21.29,20.81,20.90,391700,20.90
2014-11-25,20.37,21.21,20.34,21.18,774800,21.18
2014-11-24,19.97,20.39,19.88,20.27,623200,20.27
2014-11-21,20.21,20.54,19.82,19.89,1072700,19.89
2014-11-20,19.92,20.22,19.77,19.99,1020400,19.99
2014-11-19,20.82,20.83,20.01,20.06,819200,20.06
2014-11-18,20.92,21.11,20.57,20.90,1076200,20.90
2014-11-17,21.31,21.66,20.76,20.89,646200,20.89
2014-11-14,21.48,21.64,21.31,21.40,403800,21.40
2014-11-13,21.69,21.74,21.32,21.50,414700,21.50
2014-11-12,21.24,21.71,20.93,21.63,607700,21.63
2014-11-11,21.55,21.68,21.26,21.37,717000,21.37
2014-11-10,21.49,21.78,21.30,21.61,504900,21.61
2014-11-07,21.88,22.00,21.25,21.43,852800,21.43
2014-11-06,21.21,22.00,21.18,21.94,744000,21.94
2014-11-05,21.63,21.89,21.16,21.22,985900,21.22
2014-11-04,23.13,23.85,21.13,21.55,1722600,21.55
2014-11-03,23.23,23.24,22.63,22.97,1124800,22.97
2014-10-31,22.93,23.33,22.40,23.23,756600,23.23
2014-10-30,21.85,22.43,21.84,22.39,800200,22.39
2014-10-29,22.20,22.50,21.85,21.95,643000,21.95
2014-10-28,21.55,22.32,21.55,22.15,682700,22.15
2014-10-27,21.14,21.56,21.00,21.53,339200,21.53
2014-10-24,21.18,21.36,21.00,21.29,331600,21.29
2014-10-23,21.16,21.37,20.92,21.12,1260000,21.12
2014-10-22,21.31,21.31,20.85,20.99,967300,20.99
2014-10-21,20.67,21.27,20.50,21.21,638500,21.21
2014-10-20,20.08,20.52,20.00,20.51,725500,20.51
2014-10-17,20.09,20.36,19.45,20.26,1520600,20.26
2014-10-16,19.25,19.88,19.25,19.81,906600,19.81
2014-10-15,19.05,19.78,18.67,19.56,888600,19.56
2014-10-14,19.06,19.50,18.93,19.32,847900,19.32
2014-10-13,18.40,19.25,18.27,18.88,811900,18.88
2014-10-10,18.54,18.87,18.31,18.43,740000,18.43
2014-10-09,18.98,19.15,18.64,18.64,669300,18.64
2014-10-08,18.56,19.06,18.25,19.04,590600,19.04
2014-10-07,19.10,19.10,18.59,18.60,484800,18.60
2014-10-06,19.25,19.46,19.12,19.18,608600,19.18
2014-10-03,18.93,19.29,18.77,19.21,516400,19.21
2014-10-02,18.41,18.80,18.25,18.74,602500,18.74
2014-10-01,18.85,19.00,18.14,18.39,1959500,18.39
2014-09-30,19.36,19.36,18.84,18.85,656600,18.85
2014-09-29,19.13,19.39,19.01,19.38,386500,19.38
2014-09-26,19.30,19.51,19.19,19.35,401200,19.35
2014-09-25,19.62,19.63,19.00,19.29,972100,19.29
2014-09-24,19.76,19.93,19.47,19.70,548000,19.70
2014-09-23,20.15,20.26,19.72,19.75,589000,19.75
2014-09-22,20.26,20.32,19.95,20.20,416200,20.20
2014-09-19,20.94,20.96,20.18,20.33,801900,20.33
2014-09-18,21.08,21.22,20.77,20.85,597600,20.85
2014-09-17,20.79,21.11,20.63,21.00,816700,21.00
2014-09-16,20.67,21.15,20.49,20.81,1034300,20.81
2014-09-15,21.07,21.21,20.45,20.79,554000,20.79
2014-09-12,20.65,21.16,20.55,21.10,809400,21.10
2014-09-11,20.82,21.03,20.43,20.67,819600,20.67
2014-09-10,20.57,21.09,20.47,21.00,599200,21.00
2014-09-09,20.65,21.04,20.22,20.61,664700,20.61
2014-09-08,20.85,21.03,20.49,20.71,594600,20.71
2014-09-05,20.89,21.00,20.49,20.92,726900,20.92
2014-09-04,20.36,21.06,20.34,20.86,950500,20.86
2014-09-03,22.59,22.59,19.71,20.31,4375500,20.31
2014-09-02,22.91,22.91,21.97,22.61,1090900,22.61
2014-08-29,22.93,23.10,22.51,22.86,634200,22.86
2014-08-28,22.78,22.93,22.60,22.91,562800,22.91
2014-08-27,22.96,22.99,22.81,22.86,604200,22.86
2014-08-26,22.75,23.00,22.63,22.96,1176400,22.96
2014-08-25,22.91,22.91,22.57,22.76,1017400,22.76
2014-08-22,22.91,23.00,22.61,22.76,974200,22.76
2014-08-21,21.55,23.57,21.55,23.00,3098000,23.00
2014-08-20,21.40,21.66,21.08,21.57,1474900,21.57
2014-08-19,21.30,21.79,21.10,21.56,910600,21.56
2014-08-18,19.99,21.65,19.66,21.09,1936000,21.09
2014-08-15,19.76,19.76,18.56,19.26,971000,19.26
2014-08-14,19.73,19.93,19.45,19.59,641400,19.59
2014-08-13,19.85,20.01,19.36,19.70,824100,19.70
2014-08-12,20.08,20.26,19.72,19.79,666900,19.79
2014-08-11,20.94,21.06,20.18,20.20,913000,20.20
2014-08-08,19.75,21.12,19.58,20.74,1940300,20.74
2014-08-07,18.82,18.97,18.43,18.56,1003700,18.56
2014-08-06,18.76,19.06,18.76,18.83,648900,18.83
2014-08-05,18.87,19.10,18.62,18.88,1322900,18.88
2014-08-04,18.50,19.02,18.42,18.94,688000,18.94
2014-08-01,18.40,18.65,18.24,18.42,1540400,18.42
2014-07-31,18.26,18.75,18.17,18.41,1109800,18.41
2014-07-30,18.98,19.12,18.43,18.51,1094200,18.51
2014-07-29,18.78,19.23,18.76,18.86,629500,18.86
2014-07-28,18.69,18.83,18.48,18.76,521400,18.76
2014-07-25,18.31,18.88,18.22,18.70,1107400,18.70
2014-07-24,18.77,18.93,18.32,18.48,1502700,18.48
2014-07-23,19.26,19.26,18.71,18.77,1004800,18.77
2014-07-22,19.22,19.46,18.95,19.04,734300,19.04
2014-07-21,19.36,19.48,19.16,19.17,700000,19.17
2014-07-18,19.55,19.77,19.25,19.41,1478800,19.41
2014-07-17,19.80,19.95,19.50,19.60,694500,19.60
2014-07-16,20.18,20.25,19.88,19.92,624200,19.92
2014-07-15,20.14,20.25,19.84,20.02,354400,20.02
2014-07-14,19.97,20.31,19.80,20.18,606700,20.18
2014-07-11,19.64,19.84,19.50,19.74,416900,19.74
2014-07-10,19.69,19.77,19.41,19.70,597300,19.70
2014-07-09,19.98,20.13,19.57,19.92,593100,19.92
2014-07-08,20.25,20.25,19.64,19.91,789400,19.91
2014-07-07,20.70,20.70,20.14,20.25,684200,20.25
2014-07-03,20.69,20.85,20.53,20.74,251400,20.74
2014-07-02,20.61,20.79,20.32,20.64,505700,20.64
2014-07-01,20.49,21.06,20.27,20.57,1418100,20.57
2014-06-30,19.94,20.48,19.83,20.41,815100,20.41
2014-06-27,19.54,20.08,19.53,19.97,901000,19.97
2014-06-26,19.49,19.67,19.18,19.62,518100,19.62
2014-06-25,19.14,19.46,19.01,19.45,696700,19.45
