Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,65.99,69.84,65.42,69.71,294600,69.71
2015-04-07,65.85,67.80,65.42,65.99,209800,65.99
2015-04-06,64.23,66.82,63.81,65.75,211200,65.75
2015-04-02,63.89,65.83,63.29,64.41,179100,64.41
2015-04-01,62.35,63.78,60.92,63.76,157800,63.76
2015-03-31,62.95,63.89,61.93,62.55,182900,62.55
2015-03-30,62.85,64.21,62.31,62.93,184700,62.93
2015-03-27,60.42,62.51,60.42,61.94,309800,61.94
2015-03-26,59.95,61.82,57.76,60.39,340900,60.39
2015-03-25,65.90,66.80,60.19,60.34,406300,60.34
2015-03-24,66.59,68.00,65.60,65.87,183500,65.87
2015-03-23,66.25,67.31,64.68,66.55,245300,66.55
2015-03-20,68.03,68.92,64.73,65.98,916900,65.98
2015-03-19,62.84,67.77,62.84,67.50,582200,67.50
2015-03-18,62.50,63.19,61.62,62.92,220300,62.92
2015-03-17,62.93,63.49,61.57,62.67,254300,62.67
2015-03-16,60.58,63.04,60.44,62.95,409500,62.95
2015-03-13,61.46,63.39,60.20,60.33,645700,60.33
2015-03-12,66.75,66.89,61.91,62.16,1304300,62.16
2015-03-11,63.87,67.19,62.94,66.10,386900,66.10
2015-03-10,63.13,64.39,62.60,63.73,310600,63.73
2015-03-09,66.21,66.42,61.81,64.24,422000,64.24
2015-03-06,66.18,67.44,65.17,66.72,370100,66.72
2015-03-05,68.00,68.50,66.06,66.51,260100,66.51
2015-03-04,67.00,67.92,64.54,67.18,422000,67.18
2015-03-03,70.20,70.20,65.20,66.86,738700,66.86
2015-03-02,69.00,71.49,68.57,70.75,463000,70.75
2015-02-27,69.58,69.71,66.31,67.36,283800,67.36
2015-02-26,69.29,70.29,68.17,69.46,185300,69.46
2015-02-25,70.00,70.00,67.69,69.08,203800,69.08
2015-02-24,69.51,70.24,68.32,69.80,214000,69.80
2015-02-23,68.68,71.78,68.50,69.41,351900,69.41
2015-02-20,65.19,69.61,65.19,68.66,327700,68.66
2015-02-19,61.00,66.70,61.00,65.02,440400,65.02
2015-02-18,63.40,67.11,62.01,66.03,464700,66.03
2015-02-17,63.87,64.62,62.37,63.04,227900,63.04
2015-02-13,63.52,64.58,62.01,62.69,182200,62.69
2015-02-12,62.86,63.59,61.09,63.12,161700,63.12
2015-02-11,63.44,64.80,61.00,62.15,217100,62.15
2015-02-10,60.14,63.49,59.91,63.44,468100,63.44
2015-02-09,56.20,61.95,56.20,59.28,564000,59.28
2015-02-06,57.22,57.78,54.92,55.31,218300,55.31
2015-02-05,55.91,57.33,55.12,56.92,208400,56.92
2015-02-04,53.73,56.25,52.18,55.48,287400,55.48
2015-02-03,55.49,55.76,52.26,54.29,303500,54.29
2015-02-02,56.37,56.53,54.29,55.50,1220800,55.50
2015-01-30,57.41,58.36,55.87,55.97,171500,55.97
2015-01-29,56.83,57.93,54.69,57.80,260500,57.80
2015-01-28,56.00,58.96,55.84,56.85,525000,56.85
2015-01-27,53.22,54.32,53.02,53.69,90000,53.69
2015-01-26,52.75,54.12,52.12,53.83,98000,53.83
2015-01-23,52.81,53.83,52.48,52.74,168000,52.74
2015-01-22,53.62,53.62,50.70,52.82,164300,52.82
2015-01-21,54.81,55.29,52.80,53.33,120600,53.33
2015-01-20,56.20,56.53,53.44,54.93,233000,54.93
2015-01-16,53.31,56.43,52.59,56.21,300000,56.21
2015-01-15,54.69,55.60,52.73,53.47,254700,53.47
2015-01-14,53.69,56.30,53.07,54.74,309300,54.74
2015-01-13,56.50,56.78,53.72,54.41,260600,54.41
2015-01-12,55.99,57.59,55.11,55.88,216000,55.88
2015-01-09,56.07,56.57,53.88,55.95,205600,55.95
2015-01-08,54.21,56.50,53.08,56.13,226100,56.13
2015-01-07,52.61,54.43,52.25,53.42,208900,53.42
2015-01-06,55.96,56.50,50.71,52.21,374700,52.21
2015-01-05,57.00,57.75,55.52,55.98,318900,55.98
2015-01-02,56.60,58.23,54.60,56.99,294400,56.99
