Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,0.37,0.44,0.37,0.39,258100,1.95
2014-12-30,0.38,0.38,0.34,0.37,92900,1.85
2014-12-29,0.36,0.37,0.35,0.37,31100,1.85
2014-12-26,0.35,0.38,0.34,0.38,33300,1.90
2014-12-24,0.34,0.37,0.34,0.36,10900,1.80
2014-12-23,0.37,0.37,0.34,0.35,35600,1.75
2014-12-22,0.44,0.44,0.35,0.37,30300,1.85
2014-12-19,0.37,0.37,0.33,0.37,25200,1.85
2014-12-18,0.35,0.38,0.34,0.35,29400,1.75
2014-12-17,0.40,0.42,0.34,0.35,133300,1.75
2014-12-16,0.35,0.38,0.33,0.36,72900,1.80
2014-12-15,0.35,0.37,0.34,0.35,14200,1.75
2014-12-12,0.34,0.39,0.34,0.37,32700,1.85
2014-12-11,0.40,0.40,0.34,0.38,72400,1.90
2014-12-10,0.40,0.40,0.36,0.39,23700,1.95
2014-12-09,0.38,0.39,0.36,0.39,24500,1.95
2014-12-08,0.38,0.40,0.35,0.39,75400,1.95
2014-12-05,0.48,0.48,0.36,0.40,177700,2.00
2014-12-04,0.50,0.54,0.38,0.41,515200,2.05
2014-12-03,0.42,0.52,0.40,0.48,452800,2.40
2014-12-02,0.35,0.40,0.32,0.40,134700,2.00
2014-12-01,0.41,0.41,0.33,0.35,51100,1.75
2014-11-28,0.42,0.43,0.37,0.39,34200,1.95
2014-11-26,0.42,0.47,0.41,0.43,138700,2.15
2014-11-25,0.35,0.42,0.32,0.40,190200,2.00
2014-11-24,0.31,0.35,0.31,0.34,38200,1.70
2014-11-21,0.35,0.36,0.32,0.32,51200,1.60
2014-11-20,0.33,0.35,0.31,0.34,92900,1.70
2014-11-19,0.31,0.34,0.31,0.33,58900,1.65
2014-11-18,0.34,0.35,0.31,0.31,80700,1.55
2014-11-17,0.36,0.37,0.33,0.33,37000,1.65
2014-11-14,0.37,0.37,0.34,0.35,30800,1.75
2014-11-13,0.39,0.39,0.34,0.35,61100,1.75
2014-11-12,0.39,0.41,0.34,0.36,67500,1.80
2014-11-11,0.37,0.40,0.36,0.39,35200,1.95
2014-11-10,0.39,0.42,0.36,0.37,63700,1.85
2014-11-07,0.42,0.43,0.39,0.41,42400,2.05
2014-11-06,0.48,0.49,0.42,0.44,35400,2.20
2014-11-05,0.46,0.48,0.43,0.45,51300,2.25
2014-11-04,0.58,0.59,0.47,0.49,85500,2.45
2014-11-03,0.54,0.60,0.53,0.54,112200,2.70
2014-10-31,0.45,0.57,0.44,0.51,294800,2.55
2014-10-30,0.45,0.50,0.38,0.44,56600,2.20
2014-10-29,0.45,0.56,0.44,0.45,347700,2.25
2014-10-28,0.36,0.48,0.36,0.44,156500,2.20
2014-10-27,0.37,0.39,0.34,0.36,20500,1.80
2014-10-24,0.37,0.39,0.36,0.36,45200,1.80
2014-10-23,0.40,0.42,0.37,0.37,15900,1.85
2014-10-22,0.44,0.44,0.38,0.40,18400,2.00
2014-10-21,0.41,0.43,0.38,0.41,27700,2.05
2014-10-20,0.33,0.43,0.33,0.39,110200,1.95
2014-10-17,0.34,0.35,0.32,0.34,28400,1.70
2014-10-16,0.36,0.36,0.32,0.33,51400,1.65
2014-10-15,0.37,0.37,0.32,0.36,48100,1.80
2014-10-14,0.41,0.42,0.34,0.35,76600,1.75
2014-10-13,0.46,0.48,0.38,0.39,29700,1.95
2014-10-10,0.49,0.49,0.43,0.43,18000,2.15
2014-10-09,0.50,0.51,0.42,0.45,48100,2.25
2014-10-08,0.53,0.53,0.46,0.50,19100,2.50
2014-10-07,0.55,0.55,0.48,0.50,62500,2.50
2014-10-06,0.55,0.60,0.51,0.53,28700,2.65
2014-10-03,0.60,0.61,0.55,0.56,14400,2.80
2014-10-02,0.57,0.59,0.55,0.59,8200,2.95
2014-10-01,0.60,0.61,0.55,0.55,32200,2.75
2014-09-30,0.60,0.60,0.56,0.57,6300,2.85
2014-09-29,0.55,0.60,0.55,0.57,4600,2.85
2014-09-26,0.55,0.61,0.55,0.59,15300,2.95
2014-09-25,0.57,0.60,0.55,0.56,12000,2.80
2014-09-24,0.55,0.60,0.55,0.59,13200,2.95
2014-09-23,0.60,0.60,0.55,0.58,17600,2.90
2014-09-22,0.60,0.60,0.56,0.60,19400,3.00
2014-09-19,0.59,0.61,0.53,0.56,25600,2.80
2014-09-18,0.56,0.58,0.54,0.58,14300,2.90
2014-09-17,0.60,0.60,0.53,0.54,32700,2.70
2014-09-16,0.54,0.64,0.54,0.58,62100,2.90
2014-09-15,0.60,0.60,0.50,0.55,85600,2.75
2014-09-12,0.67,0.67,0.67,0.67,000,3.35
2014-09-11,0.67,0.67,0.67,0.67,000,3.35
2014-09-10,0.67,0.67,0.67,0.67,000,3.35
2014-09-09,0.67,0.67,0.67,0.67,000,3.35
2014-09-08,0.64,0.67,0.64,0.67,56300,3.35
2014-09-05,0.67,0.67,0.61,0.64,98800,3.20
2014-09-04,0.68,0.70,0.64,0.64,43800,3.20
2014-09-03,0.65,0.67,0.63,0.65,22400,3.25
2014-09-02,0.66,0.69,0.63,0.64,57900,3.20
