Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,37.92,38.17,37.64,37.92,757600,37.78
2014-12-30,37.81,38.01,37.55,37.86,543900,37.72
2014-12-29,37.50,38.10,37.27,37.98,478700,37.84
2014-12-26,37.36,37.77,37.05,37.50,231400,37.36
2014-12-24,37.39,37.83,36.94,37.20,130200,37.06
2014-12-23,37.10,37.44,36.68,37.41,256900,37.27
2014-12-22,36.51,36.85,36.24,36.81,246900,36.67
2014-12-19,37.46,37.46,36.48,36.51,1284900,36.37
2014-12-18,37.74,37.82,37.38,37.55,418000,37.41
2014-12-17,35.86,37.46,35.65,37.40,662700,37.26
2014-12-16,35.15,36.20,34.90,35.61,478400,35.47
2014-12-15,35.41,35.62,35.01,35.25,715600,35.12
2014-12-12,35.20,35.71,34.91,35.25,394400,35.12
2014-12-11,36.21,36.30,35.50,35.58,559300,35.44
2014-12-10,37.68,37.70,36.08,36.12,438100,35.98
2014-12-09,36.57,37.78,36.39,37.72,366400,37.58
2014-12-08,37.17,37.50,36.74,36.89,312200,36.75
2014-12-05,36.19,37.37,35.57,37.18,549300,37.04
2014-12-04,36.09,36.45,35.78,35.99,243900,35.85
2014-12-03,36.01,36.32,35.79,36.15,370000,36.01
2014-12-02,35.32,36.22,35.32,36.04,214400,35.90
2014-12-01,35.97,36.11,35.17,35.32,432100,35.19
2014-11-28,37.79,37.80,36.14,36.20,258400,36.06
2014-11-26,36.31,37.80,36.22,37.75,619300,37.61
2014-11-25,36.14,36.37,35.88,36.36,230100,36.22
2014-11-24,35.41,36.08,35.41,35.95,167900,35.81
2014-11-21,36.30,36.54,35.31,35.33,242300,35.20
2014-11-20,35.44,35.95,35.33,35.90,295400,35.76
2014-11-19,35.75,36.02,35.24,35.66,405800,35.52
2014-11-18,35.93,36.35,35.85,35.87,263600,35.73
2014-11-17,36.22,36.36,35.73,35.85,264500,35.71
2014-11-14,36.39,36.39,35.84,36.12,219200,35.98
2014-11-13,36.72,36.80,36.27,36.27,169800,36.13
2014-11-12,36.18,36.81,36.12,36.71,272300,36.57
2014-11-11,36.61,36.64,36.20,36.42,423400,36.28
2014-11-10,36.48,36.81,36.17,36.60,540500,36.46
2014-11-07,35.58,36.32,35.28,36.30,587400,36.16
2014-11-06,35.19,35.70,34.91,35.67,267800,35.53
2014-11-05,35.23,35.41,34.92,35.16,164100,35.03
2014-11-04,35.06,35.21,34.49,34.95,249400,34.82
2014-11-03,35.30,35.58,35.06,35.25,399600,35.12
2014-10-31,35.16,35.53,34.90,35.24,505800,35.11
2014-10-30,34.75,35.33,34.44,34.90,349200,34.77
2014-10-29,34.81,35.10,34.27,34.94,400100,34.81
2014-10-28,33.82,34.86,33.75,34.85,383800,34.72
2014-10-27,33.40,33.88,33.31,33.79,406300,33.66
2014-10-24,33.08,33.54,32.79,33.40,371700,33.27
2014-10-23,33.19,33.48,32.57,32.96,339000,32.83
2014-10-22,32.98,33.65,32.55,32.78,451300,32.66
2014-10-21,32.26,33.00,31.63,32.83,377100,32.70
2014-10-20,32.34,32.77,31.92,32.08,517900,31.96
2014-10-17,32.96,32.96,32.30,32.50,724100,32.38
2014-10-16,30.96,32.62,30.70,32.43,798100,32.31
2014-10-15,30.50,31.65,29.14,30.75,1009200,30.63
2014-10-14,31.00,31.45,30.66,30.87,525600,30.63
2014-10-13,30.21,31.09,30.15,30.61,378400,30.37
2014-10-10,30.07,30.69,29.92,30.07,367800,29.83
2014-10-09,31.12,31.41,30.13,30.28,448300,30.04
2014-10-08,30.65,31.34,30.47,31.26,320700,31.01
2014-10-07,31.12,31.37,30.51,30.59,548000,30.35
2014-10-06,31.72,32.12,31.28,31.33,226200,31.08
2014-10-03,31.79,32.03,31.58,31.65,260700,31.40
2014-10-02,31.09,31.75,30.74,31.37,418900,31.12
2014-10-01,31.53,31.70,30.95,31.18,459800,30.94
2014-09-30,31.91,32.17,31.48,31.52,423700,31.27
2014-09-29,31.69,32.12,31.60,31.93,231800,31.68
2014-09-26,32.14,32.34,31.84,32.05,289200,31.80
2014-09-25,32.66,32.95,32.05,32.11,357900,31.86
2014-09-24,32.66,32.91,32.42,32.81,380000,32.55
2014-09-23,33.45,33.67,32.56,32.59,376100,32.33
2014-09-22,33.75,33.79,33.16,33.56,534200,33.30
2014-09-19,34.02,34.67,33.48,33.86,3398200,33.59
2014-09-18,33.21,33.97,33.02,33.97,556600,33.70
2014-09-17,32.90,33.50,32.68,33.17,583700,32.91
2014-09-16,32.66,32.86,32.30,32.52,346800,32.26
2014-09-15,33.56,33.81,32.61,32.66,485500,32.40
2014-09-12,33.59,33.89,33.24,33.72,543200,33.46
