Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,1.25,1.27,1.17,1.21,108900,1.21
2014-12-30,1.17,1.30,1.17,1.26,131200,1.26
2014-12-29,1.12,1.19,1.10,1.17,71400,1.17
2014-12-26,1.18,1.18,1.08,1.13,78800,1.13
2014-12-24,1.18,1.29,1.16,1.19,75400,1.19
2014-12-23,1.38,1.38,1.19,1.20,111400,1.20
2014-12-22,1.28,1.43,1.20,1.39,128600,1.39
2014-12-19,1.21,1.32,1.19,1.26,82000,1.26
2014-12-18,1.17,1.27,1.10,1.16,110200,1.16
2014-12-17,1.00,1.15,0.99,1.07,299700,1.07
2014-12-16,1.00,1.00,0.95,0.98,166800,0.98
2014-12-15,1.16,1.26,1.01,1.01,80500,1.01
2014-12-12,1.05,1.17,1.05,1.17,111500,1.17
2014-12-11,1.29,1.39,1.14,1.16,117500,1.16
2014-12-10,1.30,1.33,1.21,1.27,219600,1.27
2014-12-09,1.40,1.41,1.30,1.30,89900,1.30
2014-12-08,1.52,1.52,1.28,1.37,48000,1.37
2014-12-05,1.50,1.58,1.50,1.52,38600,1.52
2014-12-04,1.75,1.85,1.43,1.53,218100,1.53
2014-12-03,1.51,1.74,1.51,1.71,109300,1.71
2014-12-02,1.99,1.99,1.41,1.45,175700,1.45
2014-12-01,2.03,2.20,1.99,2.00,25500,2.00
2014-11-28,2.05,2.14,1.98,1.99,25100,1.99
2014-11-26,2.27,2.35,2.00,2.01,73400,2.01
2014-11-25,2.51,2.51,2.29,2.33,104200,2.33
2014-11-24,2.59,2.59,2.38,2.48,33700,2.48
2014-11-21,2.50,2.70,2.42,2.60,70600,2.60
2014-11-20,2.75,2.75,2.35,2.45,32400,2.45
2014-11-19,2.80,2.84,2.72,2.80,25300,2.80
2014-11-18,2.80,2.83,2.80,2.80,4000,2.80
2014-11-17,2.80,2.83,2.80,2.80,6800,2.80
2014-11-14,2.87,2.87,2.81,2.84,5000,2.84
2014-11-13,2.87,2.89,2.83,2.83,5400,2.83
2014-11-12,2.86,2.89,2.86,2.86,3800,2.86
2014-11-11,2.80,2.86,2.80,2.86,5500,2.86
2014-11-10,2.87,2.88,2.84,2.85,1400,2.85
2014-11-07,2.84,3.02,2.84,2.90,13200,2.90
2014-11-06,2.82,2.89,2.80,2.85,39100,2.85
2014-11-05,2.85,2.85,2.80,2.82,18600,2.82
2014-11-04,2.86,2.87,2.80,2.81,31500,2.81
2014-11-03,2.80,3.03,2.80,2.92,61900,2.92
2014-10-31,2.84,2.91,2.83,2.88,8100,2.88
2014-10-30,2.95,2.96,2.80,2.82,10600,2.82
2014-10-29,2.98,3.00,2.86,2.92,3300,2.92
2014-10-28,2.98,2.99,2.89,2.96,7100,2.96
2014-10-27,3.00,3.06,2.84,2.85,20700,2.85
2014-10-24,3.13,3.20,2.96,3.00,210300,3.00
2014-10-23,3.10,3.20,3.08,3.12,177800,3.12
2014-10-22,3.12,3.15,3.10,3.10,6200,3.10
2014-10-21,3.17,3.19,3.00,3.19,13200,3.19
2014-10-20,2.95,3.05,2.95,3.02,20400,3.02
2014-10-17,3.14,3.20,3.05,3.05,9900,3.05
2014-10-16,3.04,3.17,3.04,3.08,21700,3.08
2014-10-15,3.13,3.35,2.80,2.94,29300,2.94
2014-10-14,3.05,3.10,3.05,3.06,24500,3.06
2014-10-13,3.03,3.18,2.93,2.99,13000,2.99
2014-10-10,3.14,3.16,3.07,3.08,15500,3.08
2014-10-09,3.24,3.47,3.15,3.18,5000,3.18
2014-10-08,3.29,3.29,3.01,3.20,48500,3.20
2014-10-07,3.49,3.68,3.23,3.30,12900,3.30
2014-10-06,3.50,3.65,3.44,3.50,121200,3.50
2014-10-03,3.40,3.83,3.36,3.36,25900,3.36
2014-10-02,3.86,3.88,3.50,3.50,35900,3.50
2014-10-01,3.98,3.98,3.83,3.86,11600,3.86
2014-09-30,4.07,4.11,3.85,4.03,14200,4.03
2014-09-29,4.03,4.03,3.56,4.01,38000,4.01
2014-09-26,3.95,4.07,3.95,4.03,10500,4.03
2014-09-25,3.97,4.04,3.92,3.98,4500,3.98
2014-09-24,4.11,4.11,3.91,3.94,3900,3.94
2014-09-23,3.81,4.14,3.81,4.01,14800,4.01
2014-09-22,4.11,4.24,3.90,4.08,29500,4.08
2014-09-19,3.77,4.20,3.65,4.20,36700,4.20
2014-09-18,3.84,3.96,3.56,3.83,50600,3.83
2014-09-17,4.13,4.24,3.82,3.89,70300,3.89
2014-09-16,4.14,4.19,4.04,4.19,22000,4.19
2014-09-15,4.18,4.20,4.09,4.15,39700,4.15
2014-09-12,4.31,4.33,4.18,4.25,9100,4.25
2014-09-11,4.23,4.42,4.20,4.36,35700,4.36
2014-09-10,4.41,4.46,4.06,4.30,44100,4.30
2014-09-09,4.60,4.65,4.26,4.41,36000,4.41
2014-09-08,4.84,4.84,4.64,4.64,19300,4.64
2014-09-05,4.88,4.89,4.83,4.85,22700,4.85
2014-09-04,4.92,4.96,4.88,4.89,7100,4.89
2014-09-03,5.02,5.04,4.93,4.96,10700,4.96
2014-09-02,5.01,5.10,4.91,4.91,25400,4.91
2014-08-29,5.04,5.19,4.88,4.96,21600,4.96
2014-08-28,4.93,5.09,4.91,4.99,7300,4.99
2014-08-27,5.16,5.16,4.91,4.93,7100,4.93
2014-08-26,5.09,5.18,4.99,5.09,16400,5.09
2014-08-25,4.92,5.10,4.87,5.00,17800,5.00
2014-08-22,4.86,4.99,4.82,4.88,10900,4.88
2014-08-21,4.88,5.02,4.80,4.86,16700,4.86
2014-08-20,4.79,4.98,4.68,4.88,8500,4.88
