Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,112.18,112.74,110.66,110.74,579300,110.74
2014-12-30,111.22,112.02,110.83,111.44,321100,111.44
2014-12-29,110.21,112.00,110.06,111.71,373500,111.71
2014-12-26,110.27,111.10,110.27,110.41,185000,110.41
2014-12-24,110.39,110.74,109.29,109.78,151000,109.78
2014-12-23,108.90,111.50,108.83,109.98,685000,109.98
2014-12-22,107.69,108.74,106.65,108.70,646900,108.70
2014-12-19,107.99,108.12,106.30,107.13,1246300,107.13
2014-12-18,108.20,108.20,106.45,107.99,691200,107.99
2014-12-17,106.16,107.29,105.31,106.55,641100,106.55
2014-12-16,106.03,107.25,105.40,105.42,692000,105.42
2014-12-15,107.51,107.98,105.70,106.44,482200,106.44
2014-12-12,107.29,108.25,106.83,106.92,419500,106.92
2014-12-11,108.19,109.24,107.51,107.77,433000,107.77
2014-12-10,106.97,108.13,106.89,107.45,562300,107.45
2014-12-09,106.65,107.83,105.81,107.53,817200,107.53
2014-12-08,109.02,109.35,107.41,107.93,464400,107.93
2014-12-05,109.63,110.19,108.89,109.48,451400,109.48
2014-12-04,109.63,110.42,109.03,109.51,575100,109.51
2014-12-03,108.91,110.00,108.22,109.81,571300,109.81
2014-12-02,109.57,111.11,108.74,108.87,500300,108.87
2014-12-01,111.72,111.72,109.19,109.97,699900,109.97
2014-11-28,110.68,112.39,110.28,111.72,292000,111.72
2014-11-26,110.51,110.82,109.72,110.16,410400,110.16
2014-11-25,111.44,112.23,110.47,110.59,557400,110.59
2014-11-24,109.81,111.11,109.62,111.07,614400,111.07
2014-11-21,110.58,110.77,109.24,109.37,623000,109.37
2014-11-20,107.19,109.85,106.73,109.37,806300,109.37
2014-11-19,108.16,108.43,107.00,107.43,673300,107.43
2014-11-18,107.25,108.81,107.19,108.02,572300,108.02
2014-11-17,108.14,108.28,106.88,107.42,913900,107.42
2014-11-14,108.20,108.72,105.91,108.32,2168600,108.32
2014-11-13,112.40,112.40,109.45,109.81,1362000,109.81
2014-11-12,111.05,115.20,109.83,112.48,4931100,112.48
2014-11-11,104.16,104.80,102.75,103.75,2900300,103.75
2014-11-10,102.67,104.23,102.08,103.22,697400,103.22
2014-11-07,102.51,103.70,102.14,103.02,607200,103.02
2014-11-06,101.05,102.74,100.65,102.72,406200,102.72
2014-11-05,100.25,101.56,99.80,100.75,386400,100.75
2014-11-04,102.10,102.10,98.68,99.88,871100,99.88
2014-11-03,101.54,103.43,101.54,102.88,756400,102.88
2014-10-31,101.29,102.00,100.53,101.66,827200,101.66
2014-10-30,100.52,100.80,99.83,100.14,717200,100.14
2014-10-29,100.86,101.28,99.78,100.51,426900,100.51
2014-10-28,100.04,101.66,99.75,101.11,595500,101.11
2014-10-27,100.61,100.94,99.44,100.46,591900,100.46
2014-10-24,99.30,101.03,98.41,100.76,774600,100.76
2014-10-23,100.82,101.90,99.11,99.45,985900,99.45
2014-10-22,101.01,101.56,99.62,99.66,495600,99.66
2014-10-21,99.23,101.01,98.40,101.01,810400,101.01
2014-10-20,96.37,98.14,95.67,98.11,568800,98.11
2014-10-17,98.72,99.48,96.98,96.99,870900,96.99
2014-10-16,96.41,98.96,96.39,98.10,1027800,98.10
2014-10-15,97.84,99.09,95.68,98.41,1094500,98.41
2014-10-14,97.31,101.39,97.27,99.12,1599000,99.12
2014-10-13,96.37,97.49,94.91,95.98,1149700,95.98
2014-10-10,96.75,97.96,96.41,96.70,932200,96.70
2014-10-09,97.65,97.74,96.13,96.76,996400,96.76
2014-10-08,95.66,97.66,95.05,97.42,880600,97.42
2014-10-07,96.50,97.82,95.81,95.90,570700,95.90
2014-10-06,97.71,98.21,96.30,97.02,687800,97.02
2014-10-03,95.94,98.36,95.69,97.68,1104400,97.68
2014-10-02,93.66,95.81,93.53,95.18,1829800,95.18
2014-10-01,93.11,93.54,91.84,92.76,1133500,92.76
