Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,25.00,25.00,25.00,25.00,300,24.78
2014-12-30,25.00,25.00,25.00,25.00,100,24.78
2014-12-29,25.00,25.00,25.00,25.00,000,24.78
2014-12-26,25.00,25.00,25.00,25.00,300,24.78
2014-12-24,25.50,25.50,25.50,25.50,1100,25.27
2014-12-23,24.50,24.50,24.50,24.50,400,24.28
2014-12-22,25.00,25.00,25.00,25.00,000,24.78
2014-12-19,25.00,25.00,25.00,25.00,000,24.78
2014-12-18,25.04,25.04,25.00,25.00,400,24.78
2014-12-17,25.00,25.50,25.00,25.50,400,25.27
2014-12-16,26.25,26.25,25.25,25.25,400,25.03
2014-12-15,24.50,24.50,24.50,24.50,000,24.28
2014-12-12,24.50,24.50,24.50,24.50,300,24.28
2014-12-11,24.50,24.50,24.50,24.50,200,24.28
2014-12-10,24.52,24.52,24.00,24.02,500,23.81
2014-12-09,24.50,24.50,24.50,24.50,000,24.28
2014-12-08,24.50,24.50,24.50,24.50,000,24.28
2014-12-05,24.50,24.50,24.50,24.50,100,24.28
2014-12-04,24.50,24.50,24.50,24.50,200,24.28
2014-12-03,24.75,24.75,22.75,24.75,900,24.53
2014-12-02,25.50,25.50,25.50,25.50,000,25.27
2014-12-01,24.55,26.90,24.55,25.50,1800,25.27
2014-11-28,26.00,26.00,26.00,26.00,100,25.77
2014-11-26,26.95,26.95,26.95,26.95,200,26.71
2014-11-25,24.54,24.54,24.50,24.50,600,24.06
2014-11-24,24.06,24.06,24.06,24.06,000,23.63
2014-11-21,22.61,24.97,22.61,24.06,1100,23.63
2014-11-20,26.50,26.50,26.50,26.50,000,26.03
2014-11-19,26.50,26.50,26.50,26.50,000,26.03
2014-11-18,24.30,26.50,24.30,26.50,1600,26.03
2014-11-17,24.00,26.24,24.00,26.20,1100,25.73
2014-11-14,24.00,24.00,24.00,24.00,000,23.57
2014-11-13,24.00,24.00,24.00,24.00,000,23.57
2014-11-12,24.00,24.00,24.00,24.00,200,23.57
2014-11-11,24.00,24.00,24.00,24.00,200,23.57
2014-11-10,24.50,24.50,23.45,23.50,2500,23.08
2014-11-07,23.50,23.50,23.48,23.48,500,23.06
2014-11-06,23.50,23.50,23.50,23.50,1100,23.08
2014-11-05,24.00,24.02,23.97,23.97,800,23.54
2014-11-04,23.99,24.00,23.99,24.00,400,23.57
2014-11-03,25.00,25.00,24.00,24.00,1900,23.57
2014-10-31,25.00,25.00,25.00,25.00,200,24.55
2014-10-30,25.00,25.00,24.38,24.38,700,23.95
2014-10-29,25.10,25.10,25.00,25.00,400,24.55
2014-10-28,23.75,23.75,23.75,23.75,000,23.33
