Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,14.03,14.48,13.66,13.89,148300,13.89
2014-12-30,14.09,14.32,13.81,14.02,85600,14.02
2014-12-29,14.74,14.84,13.92,14.15,103600,14.15
2014-12-26,14.46,14.79,14.41,14.73,98000,14.73
2014-12-24,14.29,14.40,14.07,14.33,74800,14.33
2014-12-23,14.34,14.60,14.04,14.25,131100,14.25
2014-12-22,13.99,14.32,13.99,14.24,167300,14.24
2014-12-19,13.95,14.43,13.77,14.00,215500,14.00
2014-12-18,13.50,14.48,13.47,13.66,370100,13.66
2014-12-17,12.59,13.50,12.59,13.41,203500,13.41
2014-12-16,12.62,13.14,12.50,12.58,106000,12.58
2014-12-15,13.42,13.49,12.76,12.78,110800,12.78
2014-12-12,13.02,13.59,12.92,13.27,91300,13.27
2014-12-11,13.30,13.72,13.10,13.16,162700,13.16
2014-12-10,13.41,13.55,13.07,13.13,154100,13.13
2014-12-09,12.91,13.99,12.25,13.57,244600,13.57
2014-12-08,13.51,13.84,13.10,13.24,201200,13.24
2014-12-05,12.70,13.72,12.60,13.46,190400,13.46
2014-12-04,13.04,13.83,12.86,12.90,299400,12.90
2014-12-03,11.55,12.94,11.37,12.84,240800,12.84
2014-12-02,11.08,11.69,10.99,11.62,191500,11.62
2014-12-01,11.50,11.67,10.77,11.19,187900,11.19
2014-11-28,11.78,11.94,11.39,11.55,100700,11.55
2014-11-26,11.40,12.00,11.21,11.92,142400,11.92
2014-11-25,11.30,11.74,11.15,11.36,139000,11.36
2014-11-24,10.60,11.45,10.21,11.22,167000,11.22
2014-11-21,10.95,11.30,10.35,10.65,338100,10.65
2014-11-20,9.07,10.82,8.80,10.67,471400,10.67
2014-11-19,8.67,9.05,8.42,8.98,270100,8.98
2014-11-18,8.92,9.25,8.67,8.69,239100,8.69
2014-11-17,9.07,9.20,8.77,8.93,103100,8.93
2014-11-14,9.06,9.24,8.61,9.14,224500,9.14
2014-11-13,9.14,9.38,9.01,9.06,152700,9.06
2014-11-12,9.02,9.28,8.99,9.14,183600,9.14
2014-11-11,9.15,9.15,8.88,9.08,109600,9.08
2014-11-10,9.07,9.20,8.92,9.06,162600,9.06
2014-11-07,8.93,9.02,8.69,9.00,133500,9.00
2014-11-06,8.98,9.10,8.50,8.84,153900,8.84
2014-11-05,9.11,9.21,8.86,9.00,79800,9.00
2014-11-04,9.00,9.04,8.77,9.03,81500,9.03
2014-11-03,9.29,9.46,8.97,9.01,79600,9.01
2014-10-31,9.20,9.36,8.95,9.35,79000,9.35
2014-10-30,9.16,9.48,8.91,9.14,109400,9.14
2014-10-29,9.85,9.85,9.19,9.21,128700,9.21
2014-10-28,9.18,9.86,9.18,9.80,133700,9.80
2014-10-27,9.49,9.49,9.07,9.18,65500,9.18
2014-10-24,9.38,9.46,9.33,9.42,57900,9.42
2014-10-23,9.00,9.47,9.00,9.41,141300,9.41
2014-10-22,9.48,9.63,8.87,9.01,122500,9.01
2014-10-21,9.65,9.84,9.27,9.47,127100,9.47
2014-10-20,9.74,9.94,9.42,9.48,173400,9.48
2014-10-17,10.14,10.40,9.75,9.77,178400,9.77
2014-10-16,9.05,10.11,9.03,9.82,242500,9.82
2014-10-15,8.65,9.22,8.39,9.16,256000,9.16
2014-10-14,9.76,9.85,8.57,8.69,406800,8.69
2014-10-13,9.98,10.31,9.52,9.53,233900,9.53
2014-10-10,10.15,10.68,9.60,10.08,390100,10.08
2014-10-09,11.27,11.34,10.03,10.20,702800,10.20
2014-10-08,12.65,12.71,10.78,11.80,687200,11.80
2014-10-07,13.63,13.64,12.62,12.72,246300,12.72
2014-10-06,14.38,14.48,13.66,13.81,153600,13.81
2014-10-03,13.10,15.04,13.04,14.38,527800,14.38
2014-10-02,12.85,13.00,11.88,12.86,337300,12.86
2014-10-01,13.32,13.59,12.76,12.79,170100,12.79
2014-09-30,13.65,13.65,13.25,13.41,142400,13.41
2014-09-29,13.43,13.67,13.02,13.66,147200,13.66
2014-09-26,12.97,13.72,12.85,13.57,166000,13.57
2014-09-25,14.26,14.62,13.18,13.32,286100,13.32
2014-09-24,14.57,15.05,13.95,14.39,228300,14.39
2014-09-23,14.86,15.15,14.50,14.56,132400,14.56
2014-09-22,15.10,15.40,14.46,15.00,279900,15.00
2014-09-19,15.38,15.47,14.65,15.10,741800,15.10
2014-09-18,15.00,15.39,14.91,15.10,319600,15.10
2014-09-17,15.05,15.67,14.98,15.03,239100,15.03
2014-09-16,15.21,15.21,14.78,15.00,361900,15.00
2014-09-15,15.05,15.26,14.88,15.02,525900,15.02
2014-09-12,15.10,15.59,15.00,15.03,554000,15.03
2014-09-11,16.00,16.50,14.99,15.25,2001500,15.25
2014-09-10,19.58,21.31,19.26,19.56,413300,19.56
2014-09-09,20.75,20.88,19.18,19.66,211700,19.66
2014-09-08,18.15,21.06,18.04,20.99,596900,20.99
2014-09-05,17.21,17.94,16.80,17.80,85500,17.80
2014-09-04,18.00,18.39,17.31,17.51,140900,17.51
2014-09-03,18.50,18.94,17.51,18.15,392300,18.15
2014-09-02,17.11,18.75,17.11,18.26,437600,18.26
2014-08-29,15.60,17.34,15.10,17.09,319200,17.09
2014-08-28,14.30,15.95,14.00,15.73,251300,15.73
2014-08-27,14.15,14.48,14.02,14.40,63800,14.40
2014-08-26,13.74,14.24,13.05,14.17,97200,14.17
2014-08-25,13.84,14.38,13.57,13.68,150100,13.68
2014-08-22,13.70,14.15,13.42,14.03,65300,14.03
2014-08-21,14.00,14.22,13.56,13.67,91800,13.67
2014-08-20,14.19,14.73,13.65,14.25,173200,14.25
2014-08-19,13.43,14.82,13.30,14.38,230600,14.38
2014-08-18,12.00,13.35,12.00,13.28,223800,13.28
2014-08-15,11.60,12.18,11.52,11.98,130300,11.98
2014-08-14,10.81,11.88,10.80,11.53,160900,11.53
2014-08-13,11.05,11.12,10.49,10.70,63700,10.70
2014-08-12,10.90,11.18,10.76,11.04,48100,11.04
2014-08-11,10.46,10.98,10.46,10.83,31900,10.83
2014-08-08,10.30,10.57,10.30,10.44,21200,10.44
2014-08-07,10.26,10.33,10.13,10.29,29000,10.29
2014-08-06,10.00,10.27,9.89,10.14,44600,10.14
2014-08-05,10.38,10.38,10.09,10.10,81400,10.10
2014-08-04,10.30,10.51,10.26,10.43,22900,10.43
2014-08-01,10.95,10.95,10.25,10.40,93900,10.40
2014-07-31,10.76,11.00,10.54,11.00,63900,11.00
2014-07-30,11.08,11.08,10.93,11.00,13400,11.00
2014-07-29,11.00,11.26,10.90,11.09,65800,11.09
2014-07-28,11.00,11.19,10.85,11.13,48500,11.13
2014-07-25,11.09,11.10,10.94,11.02,27000,11.02
2014-07-24,11.44,11.44,11.07,11.15,37200,11.15
2014-07-23,11.40,11.59,11.31,11.44,28600,11.44
2014-07-22,11.18,11.45,10.87,11.45,69900,11.45
2014-07-21,11.70,11.70,11.16,11.25,111500,11.25
2014-07-18,11.60,11.99,11.44,11.85,46100,11.85
2014-07-17,11.80,12.16,11.41,11.59,87700,11.59
2014-07-16,11.19,11.79,11.13,11.78,80300,11.78
2014-07-15,10.92,11.21,10.90,11.06,50300,11.06
2014-07-14,10.89,11.00,10.57,10.88,35600,10.88
2014-07-11,10.70,10.86,10.57,10.76,41300,10.76
2014-07-10,10.51,10.86,10.46,10.80,35700,10.80
2014-07-09,10.59,10.79,10.38,10.71,20700,10.71
2014-07-08,10.85,10.86,10.21,10.58,61600,10.58
2014-07-07,10.84,11.23,10.79,10.97,64300,10.97
2014-07-03,10.97,10.97,10.75,10.87,19600,10.87
2014-07-02,10.99,11.08,10.85,10.93,42400,10.93
2014-07-01,11.10,11.15,10.83,10.93,78100,10.93
2014-06-30,11.21,11.29,10.90,11.07,76300,11.07
2014-06-27,11.21,11.25,10.81,11.25,123800,11.25
2014-06-26,11.16,11.48,11.02,11.08,80800,11.08
2014-06-25,10.99,11.48,10.66,11.12,80100,11.12
2014-06-24,11.00,11.44,10.45,10.94,108800,10.94
2014-06-23,10.13,10.95,10.11,10.84,89400,10.84
2014-06-20,9.73,10.14,9.72,10.01,80100,10.01
2014-06-19,9.21,9.98,9.10,9.61,128000,9.61
2014-06-18,8.90,9.15,8.81,9.15,39400,9.15
2014-06-17,9.31,9.31,8.72,8.99,41000,8.99
2014-06-16,9.23,9.42,8.60,9.22,28600,9.22
2014-06-13,9.40,9.49,9.21,9.28,34500,9.28
2014-06-12,9.36,9.62,9.10,9.33,76700,9.33
2014-06-11,9.03,9.36,8.82,9.30,23600,9.30
2014-06-10,9.25,9.54,8.82,8.94,56700,8.94
2014-06-09,8.77,9.04,8.75,8.97,39500,8.97
2014-06-06,8.51,8.84,8.23,8.77,31100,8.77
2014-06-05,8.40,8.88,8.21,8.62,57400,8.62
2014-06-04,8.01,8.39,7.75,8.28,62800,8.28
2014-06-03,7.65,8.20,7.65,8.15,87000,8.15
2014-06-02,7.14,7.65,7.14,7.60,25900,7.60
2014-05-30,6.62,7.42,6.62,7.16,57900,7.16
2014-05-29,6.48,6.66,6.17,6.65,58200,6.65
2014-05-28,6.99,7.06,6.12,6.59,80000,6.59
2014-05-27,6.61,8.26,6.17,6.99,76400,6.99
2014-05-23,0.71,0.73,0.67,0.67,33500,6.70
2014-05-22,0.75,0.77,0.71,0.75,9100,7.50
