Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,51.39,51.39,51.39,51.39,000,51.16
2014-12-30,51.47,51.48,51.39,51.39,2300,51.16
2014-12-29,51.40,51.43,51.40,51.43,700,51.20
2014-12-26,51.20,51.20,51.17,51.17,1300,50.94
2014-12-24,51.12,51.37,51.12,51.24,4600,51.01
2014-12-23,51.45,51.45,51.45,51.45,100,51.22
2014-12-22,51.52,51.52,51.45,51.45,900,51.11
2014-12-19,51.47,51.55,51.38,51.55,13300,51.21
2014-12-18,51.39,51.45,51.39,51.42,1300,51.08
2014-12-17,51.64,51.64,51.34,51.34,400,51.00
2014-12-16,51.50,51.63,51.50,51.63,1900,51.29
2014-12-15,51.49,51.55,51.37,51.37,900,51.03
2014-12-12,51.58,51.62,51.58,51.58,700,51.24
2014-12-11,51.45,51.50,51.22,51.36,4600,51.02
2014-12-10,51.43,51.47,51.39,51.45,2000,51.11
2014-12-09,51.36,51.39,51.36,51.39,400,51.05
2014-12-08,51.14,51.14,51.14,51.14,000,50.80
2014-12-05,51.11,51.14,51.00,51.14,1300,50.80
2014-12-04,51.19,51.20,51.15,51.15,3600,50.81
2014-12-03,51.27,51.27,51.19,51.20,3800,50.86
2014-12-02,51.05,51.05,51.00,51.01,67500,50.67
2014-12-01,51.09,51.10,51.03,51.08,3600,50.74
2014-11-28,51.08,51.08,51.08,51.08,000,50.74
2014-11-26,51.08,51.08,51.08,51.08,100,50.74
2014-11-25,51.02,51.03,51.02,51.03,4000,50.69
2014-11-24,51.03,51.03,51.02,51.02,3300,50.68
2014-11-21,50.99,50.99,50.99,50.99,000,50.65
2014-11-20,51.26,51.26,50.99,50.99,700,50.54
2014-11-19,51.05,51.05,51.05,51.05,000,50.60
2014-11-18,51.15,51.60,51.04,51.05,15100,50.60
2014-11-17,51.02,51.02,50.99,51.01,900,50.56
2014-11-14,51.11,51.21,51.04,51.04,46200,50.59
2014-11-13,51.11,51.11,50.99,50.99,200,50.54
2014-11-12,51.10,51.10,51.10,51.10,300,50.65
2014-11-11,51.00,51.00,50.92,50.92,600,50.47
2014-11-10,50.87,51.24,50.87,51.24,600,50.78
2014-11-07,51.14,51.14,51.14,51.14,100,50.68
2014-11-06,51.02,51.08,50.89,50.89,21700,50.44
2014-11-05,50.92,50.92,50.92,50.92,000,50.47
2014-11-04,51.00,51.00,50.92,50.92,11500,50.47
2014-11-03,51.43,51.43,51.11,51.11,7400,50.66
2014-10-31,51.53,51.63,51.35,51.54,5700,51.08
2014-10-30,51.52,51.67,51.52,51.67,900,51.21
2014-10-29,51.50,51.50,51.50,51.50,100,51.04
2014-10-28,51.57,51.69,51.50,51.50,4400,51.05
2014-10-27,51.58,51.61,51.47,51.47,3500,51.01
2014-10-24,51.58,51.62,51.53,51.54,1400,51.08
2014-10-23,51.54,51.54,51.54,51.54,000,51.08
2014-10-22,51.54,51.54,51.54,51.54,400,51.08
2014-10-21,51.46,51.50,51.46,51.50,3600,51.04
2014-10-20,51.51,51.51,51.51,51.51,000,50.94
2014-10-17,51.49,51.51,51.49,51.51,28100,50.94
2014-10-16,51.48,51.48,51.48,51.48,4100,50.91
2014-10-15,51.40,51.57,51.35,51.45,126000,50.88
2014-10-14,51.12,51.12,51.12,51.12,000,50.55
2014-10-13,51.13,51.13,51.12,51.12,400,50.55
2014-10-10,50.94,51.02,50.94,51.02,1000,50.45
2014-10-09,50.85,50.89,50.85,50.89,2000,50.33
2014-10-08,50.70,50.70,50.70,50.70,2800,50.14
2014-10-07,50.53,50.63,50.53,50.61,19400,50.05
2014-10-06,50.55,50.55,50.55,50.55,3000,49.99
2014-10-03,50.47,50.47,50.47,50.47,5700,49.91
2014-10-02,50.60,50.60,50.42,50.50,3500,49.94
2014-10-01,50.62,50.62,50.55,50.55,800,49.99
2014-09-30,50.55,50.56,50.47,50.53,1400,49.97
2014-09-29,50.56,50.56,50.39,50.39,9300,49.83
2014-09-26,50.33,50.46,50.33,50.37,2400,49.81
2014-09-25,50.35,50.35,50.35,50.35,000,49.79
2014-09-24,50.50,50.50,50.30,50.35,700,49.79
2014-09-23,50.49,50.49,50.49,50.49,000,49.93
2014-09-22,50.57,50.57,50.41,50.49,1500,49.82
2014-09-19,50.43,50.43,50.43,50.43,000,49.76
2014-09-18,50.43,50.43,50.43,50.43,000,49.76
2014-09-17,50.43,50.43,50.43,50.43,200,49.76
2014-09-16,50.48,50.48,50.28,50.28,1100,49.61
2014-09-15,50.31,50.40,50.30,50.30,7400,49.63
2014-09-12,50.50,50.54,50.30,50.40,5800,49.73
2014-09-11,50.42,50.42,50.40,50.40,300,49.73
2014-09-10,50.53,50.55,50.53,50.55,1700,49.88
2014-09-09,50.52,50.55,50.44,50.47,4700,49.79
2014-09-08,50.46,50.46,50.46,50.46,200,49.79
2014-09-05,50.45,50.45,50.37,50.37,600,49.70
2014-09-04,50.48,50.48,50.48,50.48,000,49.81
2014-09-03,50.48,50.48,50.48,50.48,000,49.81
2014-09-02,50.48,50.48,50.48,50.48,000,49.81
2014-08-29,50.48,50.48,50.48,50.48,000,49.81
2014-08-28,50.48,50.48,50.48,50.48,000,49.81
2014-08-27,50.48,50.49,50.48,50.48,2300,49.81
2014-08-26,50.36,50.36,50.36,50.36,000,49.69
2014-08-25,50.21,50.36,50.21,50.36,600,49.69
2014-08-22,50.29,50.29,50.29,50.29,300,49.62
2014-08-21,50.23,50.23,50.06,50.21,4000,49.54
2014-08-20,50.37,50.40,50.33,50.33,400,49.54
2014-08-19,50.33,50.33,50.16,50.26,2700,49.48
2014-08-18,50.21,50.31,50.21,50.31,300,49.53
2014-08-15,50.14,50.45,50.14,50.45,400,49.66
2014-08-14,50.10,50.13,50.10,50.13,800,49.35
2014-08-13,50.17,50.17,50.17,50.17,300,49.39
2014-08-12,49.99,50.17,49.99,50.17,800,49.39
2014-08-11,50.12,50.15,50.10,50.12,2800,49.34
2014-08-08,50.31,50.31,50.31,50.31,000,49.52
2014-08-07,50.40,50.40,50.31,50.31,1000,49.52
2014-08-06,50.01,50.01,50.01,50.01,000,49.23
2014-08-05,50.01,50.01,50.01,50.01,500,49.23
2014-08-04,49.98,50.00,49.98,50.00,4500,49.22
2014-08-01,50.14,50.20,50.04,50.10,2700,49.32
2014-07-31,49.98,49.98,49.98,49.98,000,49.20
2014-07-30,49.98,49.98,49.98,49.98,1000,49.20
2014-07-29,50.04,50.05,49.95,49.95,1900,49.17
2014-07-28,49.93,49.93,49.93,49.93,000,49.15
2014-07-25,49.93,49.93,49.93,49.93,000,49.15
2014-07-24,49.93,49.93,49.93,49.93,000,49.15
2014-07-23,49.93,49.93,49.93,49.93,000,49.15
2014-07-22,49.93,49.93,49.93,49.93,200,49.15
2014-07-21,49.97,50.02,49.85,49.92,2600,48.99
2014-07-18,49.88,49.95,49.88,49.95,1300,49.02
2014-07-17,49.88,49.88,49.88,49.88,100,48.95
2014-07-16,49.67,49.67,49.67,49.67,000,48.75
2014-07-15,49.67,49.67,49.67,49.67,000,48.75
2014-07-14,49.67,49.67,49.67,49.67,300,48.75
2014-07-11,49.59,49.67,49.59,49.67,900,48.75
2014-07-10,49.52,49.52,49.52,49.52,000,48.60
2014-07-09,49.63,49.63,49.52,49.52,900,48.60
2014-07-08,50.01,50.01,50.01,50.01,000,49.08
2014-07-07,50.01,50.01,50.01,50.01,000,49.08
2014-07-03,49.98,50.01,49.98,50.01,700,49.08
2014-07-02,49.65,49.65,49.65,49.65,300,48.73
2014-07-01,50.00,50.00,50.00,50.00,000,49.07
2014-06-30,50.00,50.00,50.00,50.00,300,49.07
2014-06-27,50.10,50.10,50.10,50.10,000,49.17
2014-06-26,50.10,50.20,50.10,50.10,1600,49.17
2014-06-25,49.69,49.69,49.69,49.69,000,48.77
2014-06-24,50.00,50.00,49.49,49.69,3700,48.77
2014-06-23,49.62,50.20,49.59,49.63,3300,48.56
2014-06-20,49.62,49.62,49.57,49.57,1800,48.50
2014-06-19,49.68,49.72,49.63,49.63,7900,48.56
2014-06-18,50.14,50.14,50.00,50.01,2800,48.93
2014-06-17,50.14,50.14,49.89,50.14,1200,49.06
2014-06-16,49.70,50.10,49.70,50.10,18400,49.02
2014-06-13,49.64,49.70,49.58,49.70,1600,48.63
2014-06-12,49.70,49.70,49.70,49.70,1000,48.63
2014-06-11,49.80,49.80,49.70,49.72,8900,48.65
2014-06-10,49.85,49.85,49.70,49.70,1100,48.63
2014-06-09,49.84,50.20,49.84,49.96,9600,48.88
2014-06-06,49.93,49.95,49.89,49.90,6800,48.83
2014-06-05,49.80,49.80,49.69,49.76,2300,48.69
2014-06-04,49.85,49.85,49.85,49.85,600,48.78
2014-06-03,49.95,49.95,49.95,49.95,200,48.87
2014-06-02,49.96,49.96,49.96,49.96,200,48.88
2014-05-30,50.00,50.02,50.00,50.02,400,48.94
2014-05-29,50.00,50.00,49.99,50.00,6800,48.92
2014-05-28,50.05,50.05,50.01,50.02,2600,48.94
2014-05-27,50.02,50.06,50.00,50.02,13000,48.94
2014-05-23,50.00,50.05,50.00,50.04,5600,48.96
2014-05-22,49.97,49.98,49.94,49.98,5100,48.90
2014-05-21,50.03,50.10,49.99,49.99,11000,48.91
2014-05-20,50.02,50.10,50.01,50.01,6700,48.93
2014-05-19,50.09,50.09,49.99,49.99,11400,48.91
2014-05-16,50.13,50.17,50.13,50.17,5000,49.09
