Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,3.22,3.26,3.11,3.15,24800,3.15
2014-12-30,3.22,3.30,3.20,3.20,9600,3.20
2014-12-29,3.27,3.35,3.27,3.27,3700,3.27
2014-12-26,3.37,3.47,3.25,3.29,9200,3.29
2014-12-24,3.37,3.37,3.37,3.37,200,3.37
2014-12-23,3.40,3.50,3.40,3.49,17900,3.49
2014-12-22,3.54,3.54,3.37,3.37,5700,3.37
2014-12-19,3.37,3.53,3.37,3.37,10700,3.37
2014-12-18,3.35,3.45,3.35,3.39,5400,3.39
2014-12-17,3.49,3.65,3.34,3.36,5700,3.36
2014-12-16,3.54,3.65,3.33,3.38,8000,3.38
2014-12-15,3.35,3.62,3.34,3.44,9300,3.44
2014-12-12,3.63,3.63,3.40,3.40,20600,3.40
2014-12-11,3.55,3.65,3.50,3.50,11600,3.50
2014-12-10,3.59,3.60,3.40,3.46,7600,3.46
2014-12-09,3.59,3.59,3.42,3.43,7500,3.43
2014-12-08,3.59,3.65,3.40,3.65,11400,3.65
2014-12-05,3.39,3.77,3.34,3.51,23200,3.51
2014-12-04,3.34,3.60,3.33,3.39,9000,3.39
2014-12-03,3.39,3.56,3.39,3.42,6000,3.42
2014-12-02,3.33,3.59,3.33,3.35,5700,3.35
2014-12-01,3.39,3.48,3.34,3.34,7900,3.34
2014-11-28,3.43,3.59,3.42,3.52,5100,3.52
2014-11-26,3.43,3.43,3.33,3.33,6300,3.33
2014-11-25,3.33,3.40,3.33,3.37,9900,3.37
2014-11-24,3.43,3.43,3.33,3.39,6500,3.39
2014-11-21,3.48,3.48,3.37,3.37,8900,3.37
2014-11-20,3.53,3.53,3.33,3.33,4500,3.33
2014-11-19,3.54,3.54,3.33,3.33,11200,3.33
2014-11-18,3.47,3.63,3.40,3.50,25900,3.50
2014-11-17,3.93,3.93,3.40,3.44,15200,3.44
2014-11-14,3.49,3.95,3.29,3.95,45900,3.95
2014-11-13,3.40,3.40,3.27,3.37,16500,3.37
2014-11-12,3.44,3.50,3.37,3.47,6700,3.47
2014-11-11,3.50,3.74,3.25,3.43,26100,3.43
2014-11-10,3.45,3.45,3.14,3.30,10100,3.30
2014-11-07,3.50,3.50,3.45,3.45,1100,3.45
2014-11-06,3.36,3.50,3.10,3.50,23400,3.50
2014-11-05,3.60,3.67,3.25,3.40,10600,3.40
2014-11-04,4.00,4.00,3.70,3.80,3600,3.80
2014-11-03,3.73,3.99,3.73,3.99,5400,3.99
2014-10-31,3.70,3.70,3.70,3.70,200,3.70
2014-10-30,3.43,3.43,3.43,3.43,000,3.43
2014-10-29,3.43,3.43,3.43,3.43,200,3.43
2014-10-28,3.50,3.50,3.50,3.50,100,3.50
2014-10-27,3.41,3.41,3.41,3.41,1300,3.41
2014-10-24,3.52,3.54,3.40,3.53,2900,3.53
2014-10-23,3.56,3.56,3.40,3.40,2900,3.40
2014-10-22,3.50,3.50,3.40,3.46,6500,3.46
2014-10-21,3.38,3.55,3.38,3.55,400,3.55
2014-10-20,3.52,3.52,3.52,3.52,000,3.52
2014-10-17,3.50,3.52,3.50,3.52,2000,3.52
2014-10-16,3.40,3.45,3.40,3.45,300,3.45
2014-10-15,3.58,3.58,3.37,3.37,4200,3.37
2014-10-14,3.38,3.63,3.36,3.50,4100,3.50
2014-10-13,3.80,3.80,3.80,3.80,500,3.80
2014-10-10,3.44,3.44,3.44,3.44,000,3.44
2014-10-09,3.44,3.44,3.43,3.44,4400,3.44
2014-10-08,3.90,3.90,3.69,3.69,1500,3.69
2014-10-07,3.38,3.70,3.35,3.70,5200,3.70
2014-10-06,3.89,3.89,3.54,3.57,4700,3.57
2014-10-03,3.83,4.18,3.63,3.64,8000,3.64
2014-10-02,3.65,4.24,3.65,3.96,33100,3.96
2014-10-01,3.71,3.72,3.35,3.65,10800,3.65
2014-09-30,3.59,3.73,3.33,3.65,12700,3.65
2014-09-29,3.56,3.84,3.56,3.83,5900,3.83
2014-09-26,3.98,3.98,3.52,3.89,23700,3.89
2014-09-25,3.98,3.99,3.95,3.97,2300,3.97
2014-09-24,4.01,4.08,3.90,4.07,6100,4.07
2014-09-23,4.15,4.40,4.00,4.06,22400,4.06
2014-09-22,4.74,4.74,4.05,4.08,16100,4.08
2014-09-19,4.53,4.80,4.50,4.50,27000,4.50
2014-09-18,4.75,4.80,4.52,4.69,12400,4.69
2014-09-17,4.53,4.80,4.53,4.61,5500,4.61
2014-09-16,4.70,4.80,4.58,4.60,4700,4.60
2014-09-15,4.76,4.80,4.52,4.80,10300,4.80
2014-09-12,4.75,4.85,4.75,4.76,13100,4.76
2014-09-11,4.65,4.65,4.47,4.60,8100,4.60
2014-09-10,4.65,4.85,4.43,4.70,8200,4.70
2014-09-09,4.73,4.77,4.50,4.65,9700,4.65
2014-09-08,4.35,4.82,4.35,4.81,42400,4.81
2014-09-05,4.44,4.55,4.35,4.40,18000,4.40
2014-09-04,4.53,4.53,4.45,4.45,1100,4.45
2014-09-03,4.45,4.58,4.45,4.46,2800,4.46
2014-09-02,4.60,4.60,4.45,4.45,500,4.45
2014-08-29,4.60,4.60,4.60,4.60,100,4.60
2014-08-28,4.66,4.66,4.60,4.60,400,4.60
2014-08-27,4.47,4.65,4.45,4.48,5900,4.48
2014-08-26,4.54,4.61,4.54,4.59,4800,4.59
2014-08-25,4.65,4.65,4.47,4.65,3500,4.65
2014-08-22,4.63,4.63,4.45,4.52,4400,4.52
2014-08-21,4.50,4.50,4.50,4.50,000,4.50
2014-08-20,4.80,4.80,4.48,4.50,10700,4.50
2014-08-19,4.70,4.72,4.31,4.54,31700,4.54
2014-08-18,4.70,4.94,4.68,4.94,4500,4.94
2014-08-15,4.85,4.96,4.72,4.75,19100,4.75
2014-08-14,4.88,4.99,4.88,4.99,1300,4.99
2014-08-13,4.98,5.20,4.80,4.88,52200,4.88
2014-08-12,5.35,5.36,4.95,4.95,84900,4.95
2014-08-11,5.29,5.41,5.20,5.25,64500,5.25
2014-08-08,5.00,5.25,5.00,5.25,2800,5.25
2014-08-07,5.20,5.20,5.20,5.20,2200,5.20
2014-08-06,5.19,5.20,5.19,5.20,4700,5.20
2014-08-05,4.97,5.10,4.97,5.09,7000,5.09
2014-08-04,5.08,5.20,4.96,5.20,600,5.20
2014-08-01,4.95,4.95,4.95,4.95,1200,4.95
2014-07-31,5.05,5.06,5.05,5.05,2500,5.05
2014-07-30,4.95,5.00,4.94,5.00,7500,5.00
2014-07-29,4.64,5.00,4.52,5.00,2900,5.00
2014-07-28,4.61,4.65,4.61,4.65,1000,4.65
2014-07-25,4.77,4.77,4.77,4.77,000,4.77
2014-07-24,4.77,4.77,4.77,4.77,500,4.77
2014-07-23,5.06,5.06,4.85,4.85,3100,4.85
2014-07-22,4.65,5.27,4.65,5.06,25700,5.06
2014-07-21,4.63,4.70,4.42,4.69,30500,4.69
2014-07-18,4.64,4.72,4.57,4.60,38000,4.60
2014-07-17,4.50,4.50,4.33,4.34,13100,4.34
2014-07-16,4.51,4.55,4.51,4.53,1000,4.53
2014-07-15,4.65,4.80,4.65,4.65,4800,4.65
2014-07-14,4.79,4.80,4.60,4.60,5000,4.60
2014-07-11,5.00,5.03,4.67,4.70,11100,4.70
2014-07-10,5.19,5.19,5.00,5.00,4100,5.00
2014-07-09,5.16,5.16,5.16,5.16,400,5.16
2014-07-08,5.40,5.40,5.40,5.40,000,5.40
2014-07-07,5.36,5.40,5.36,5.40,2400,5.40
2014-07-03,5.25,5.25,5.00,5.00,3000,5.00
2014-07-02,5.00,5.26,5.00,5.26,5700,5.26
2014-07-01,5.11,5.13,5.05,5.11,6800,5.11
2014-06-30,5.27,5.30,5.25,5.30,6500,5.30
2014-06-27,5.40,5.59,5.40,5.42,10000,5.42
2014-06-26,5.55,6.06,5.47,5.59,40100,5.59
2014-06-25,6.03,6.03,5.82,5.82,9800,5.82
2014-06-24,6.49,6.50,6.05,6.06,19000,6.06
2014-06-23,6.45,6.45,6.10,6.10,3000,6.10
2014-06-20,6.62,6.75,6.20,6.20,9700,6.20
2014-06-19,6.60,6.60,6.60,6.60,1300,6.60
2014-06-18,6.80,6.80,6.52,6.60,13700,6.60
2014-06-17,6.31,7.07,6.31,6.66,19700,6.66
2014-06-16,6.70,6.71,6.30,6.30,2300,6.30
2014-06-13,6.60,7.10,6.60,6.79,15000,6.79
2014-06-12,7.00,7.00,7.00,7.00,000,7.00
2014-06-11,6.15,7.47,6.15,7.00,61800,7.00
2014-06-10,5.90,5.90,5.90,5.90,000,5.90
2014-06-09,6.45,6.45,5.90,5.90,4400,5.90
2014-06-06,6.68,6.85,5.30,6.12,20500,6.12
2014-06-05,5.92,6.45,5.30,6.45,16400,6.45
2014-06-04,5.51,5.75,5.35,5.75,1700,5.75
2014-06-03,5.75,5.75,5.75,5.75,1500,5.75
2014-06-02,5.85,5.85,5.31,5.84,5800,5.84
2014-05-30,5.95,6.20,5.95,6.10,11100,6.10
2014-05-29,5.95,6.00,5.95,5.95,22000,5.95
2014-05-28,5.75,6.25,5.61,5.95,6600,5.95
2014-05-27,5.48,5.50,5.25,5.50,9300,5.50
2014-05-23,5.00,5.25,4.85,4.85,9200,4.85
2014-05-22,4.51,5.01,4.50,5.00,8100,5.00
2014-05-21,4.88,4.88,4.51,4.55,3900,4.55
2014-05-20,5.00,5.03,5.00,5.00,2900,5.00
2014-05-19,5.00,5.00,5.00,5.00,000,5.00
2014-05-16,5.00,5.00,5.00,5.00,000,5.00
2014-05-15,5.01,5.01,5.00,5.00,2700,5.00
2014-05-14,5.95,5.95,4.50,5.90,7200,5.90
2014-05-13,5.00,6.00,2.50,5.90,1000,5.90
