Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,16.06,16.32,16.00,16.09,100200,16.09
2014-12-30,16.20,16.23,15.95,16.00,117200,16.00
2014-12-29,16.29,16.47,16.03,16.24,156200,16.24
2014-12-26,15.98,16.29,15.98,16.25,54100,16.25
2014-12-24,16.41,16.41,15.89,15.99,80700,15.99
2014-12-23,15.99,16.72,15.89,16.39,167800,16.39
2014-12-22,15.64,15.95,15.48,15.82,99800,15.82
2014-12-19,15.75,15.94,15.51,15.61,286800,15.61
2014-12-18,15.64,15.85,15.33,15.80,251700,15.80
2014-12-17,15.27,15.47,15.09,15.43,175500,15.43
2014-12-16,15.06,15.77,15.01,15.24,162000,15.24
2014-12-15,15.22,15.37,15.07,15.16,179900,15.16
2014-12-12,15.01,15.37,15.01,15.08,152800,15.08
2014-12-11,15.70,15.75,15.18,15.24,201600,15.24
2014-12-10,15.70,15.81,15.48,15.54,303100,15.54
2014-12-09,15.11,15.81,15.11,15.80,96500,15.80
2014-12-08,15.71,15.88,15.27,15.34,131100,15.34
2014-12-05,15.60,15.94,15.58,15.81,70700,15.81
2014-12-04,15.72,15.98,15.31,15.50,149400,15.50
2014-12-03,15.23,15.92,15.22,15.74,99100,15.74
2014-12-02,15.22,15.78,14.93,15.23,195300,15.23
2014-12-01,15.49,15.75,15.11,15.22,227100,15.22
2014-11-28,15.55,15.84,15.42,15.52,78300,15.52
2014-11-26,15.47,15.68,15.30,15.59,118300,15.59
2014-11-25,15.80,16.00,15.35,15.44,116600,15.44
2014-11-24,15.15,15.75,15.15,15.74,119300,15.74
2014-11-21,15.29,15.38,15.00,15.06,68500,15.06
2014-11-20,14.85,15.11,14.70,15.03,59800,15.03
2014-11-19,15.15,15.22,14.79,14.99,73800,14.99
2014-11-18,15.16,15.50,15.06,15.20,110700,15.20
2014-11-17,15.31,15.46,14.96,15.13,162800,15.13
2014-11-14,15.19,15.47,15.09,15.28,140200,15.28
2014-11-13,15.63,15.75,15.17,15.21,206900,15.21
2014-11-12,15.18,15.63,15.16,15.59,128100,15.59
2014-11-11,15.16,15.35,14.97,15.26,134700,15.26
2014-11-10,15.22,15.48,14.74,15.18,154000,15.18
2014-11-07,15.60,15.60,15.02,15.16,92400,15.16
2014-11-06,15.48,15.79,15.36,15.62,129900,15.62
2014-11-05,15.24,15.55,15.05,15.43,142500,15.43
2014-11-04,15.30,15.55,14.95,15.12,182800,15.12
2014-11-03,15.63,15.88,15.22,15.40,178800,15.40
2014-10-31,15.51,15.71,15.07,15.61,233700,15.61
2014-10-30,14.92,15.19,14.61,15.05,153200,15.05
2014-10-29,15.01,15.47,14.76,15.07,188200,15.07
2014-10-28,14.20,15.15,14.20,15.03,210700,15.03
2014-10-27,14.62,14.79,14.10,14.27,208000,14.27
2014-10-24,14.51,14.89,14.51,14.65,189300,14.65
