Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,7.10,7.19,6.98,7.15,532300,7.15
2015-04-07,6.79,7.19,6.79,7.11,672100,7.11
2015-04-06,6.79,6.99,6.77,6.90,325600,6.90
2015-04-02,6.86,6.94,6.83,6.84,177200,6.84
2015-04-01,6.82,6.90,6.63,6.85,238000,6.85
2015-03-31,6.78,6.93,6.76,6.84,192900,6.84
2015-03-30,6.92,6.96,6.70,6.81,323400,6.81
2015-03-27,6.73,6.99,6.71,6.91,714500,6.91
2015-03-26,6.70,6.79,6.65,6.76,249800,6.76
2015-03-25,6.69,6.76,6.60,6.73,869900,6.73
2015-03-24,6.65,6.72,6.59,6.71,1525500,6.71
2015-03-23,6.71,6.78,6.64,6.69,627400,6.69
2015-03-20,6.63,6.76,6.46,6.68,687700,6.68
2015-03-19,6.38,6.63,6.33,6.59,292800,6.59
2015-03-18,6.28,6.40,6.21,6.38,275800,6.38
2015-03-17,6.25,6.42,6.17,6.32,366800,6.32
2015-03-16,6.27,6.28,6.11,6.24,396800,6.24
2015-03-13,6.27,6.31,6.12,6.26,260500,6.26
2015-03-12,6.26,6.34,6.15,6.26,470500,6.26
2015-03-11,6.32,6.44,6.13,6.24,338800,6.24
2015-03-10,6.45,6.47,6.24,6.35,424800,6.35
2015-03-09,6.40,6.52,6.16,6.48,769400,6.48
2015-03-06,6.43,6.55,6.33,6.41,294200,6.41
2015-03-05,6.62,6.64,6.42,6.45,381300,6.45
2015-03-04,6.73,6.80,6.60,6.62,464800,6.62
2015-03-03,6.62,6.87,6.60,6.76,413000,6.76
2015-03-02,6.64,6.88,6.61,6.72,815600,6.72
2015-02-27,6.91,6.93,6.63,6.66,561900,6.66
2015-02-26,6.78,7.05,6.58,6.89,1855500,6.89
2015-02-25,7.30,7.30,6.27,6.42,2227000,6.42
2015-02-24,6.98,7.24,6.90,7.13,826300,7.13
2015-02-23,6.95,6.98,6.77,6.95,406000,6.95
2015-02-20,7.03,7.05,6.85,6.96,203500,6.96
2015-02-19,7.24,7.24,6.87,6.98,282300,6.98
2015-02-18,7.24,7.24,6.80,6.92,282500,6.92
2015-02-17,6.99,7.03,6.80,6.93,442300,6.93
2015-02-13,6.56,6.93,6.56,6.90,674400,6.90
2015-02-12,6.40,6.55,6.33,6.52,251100,6.52
2015-02-11,6.47,6.52,6.29,6.37,233100,6.37
2015-02-10,6.31,6.52,6.31,6.49,411100,6.49
2015-02-09,6.23,6.44,6.23,6.28,436300,6.28
2015-02-06,6.17,6.31,6.15,6.22,371800,6.22
2015-02-05,6.05,6.18,6.00,6.16,348600,6.16
2015-02-04,5.94,6.08,5.93,6.02,397000,6.02
2015-02-03,6.03,6.09,5.85,5.99,367900,5.99
2015-02-02,6.06,6.08,5.91,6.04,265300,6.04
2015-01-30,6.10,6.22,5.97,6.02,297300,6.02
2015-01-29,6.04,6.17,5.94,6.14,227900,6.14
2015-01-28,6.15,6.25,6.01,6.05,325200,6.05
2015-01-27,6.10,6.23,6.03,6.11,219500,6.11
2015-01-26,6.14,6.29,6.06,6.15,160400,6.15
2015-01-23,6.17,6.21,6.03,6.17,188800,6.17
2015-01-22,6.01,6.20,5.91,6.16,280300,6.16
2015-01-21,5.88,6.19,5.70,5.97,292700,5.97
2015-01-20,6.29,6.34,5.91,5.92,435900,5.92
2015-01-16,6.33,6.36,6.24,6.32,190200,6.32
2015-01-15,6.48,6.58,6.23,6.36,423500,6.36
2015-01-14,6.45,6.63,6.40,6.49,263800,6.49
2015-01-13,6.75,6.79,6.44,6.50,422700,6.50
2015-01-12,6.53,6.75,6.41,6.70,530500,6.70
2015-01-09,6.41,6.62,6.33,6.46,202000,6.46
2015-01-08,6.62,6.64,6.36,6.43,331500,6.43
2015-01-07,6.54,6.68,6.24,6.59,223100,6.59
2015-01-06,6.69,6.71,6.40,6.47,320400,6.47
2015-01-05,6.49,6.71,6.14,6.67,456100,6.67
2015-01-02,6.82,6.82,6.44,6.53,310400,6.53
