Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,29.39,29.61,29.00,29.02,117700,29.02
2014-12-30,29.11,29.50,29.11,29.39,92000,29.39
2014-12-29,29.65,29.73,29.09,29.31,191400,29.31
2014-12-26,29.89,30.12,29.39,29.73,100200,29.73
2014-12-24,29.83,30.22,29.50,29.80,43200,29.80
2014-12-23,30.18,30.26,29.40,29.72,191400,29.72
2014-12-22,29.95,30.24,29.43,29.99,186100,29.99
2014-12-19,30.03,30.46,29.71,29.98,365600,29.98
2014-12-18,29.21,30.16,28.75,30.10,214600,30.10
2014-12-17,27.61,28.96,27.56,28.78,205200,28.78
2014-12-16,27.60,28.26,27.28,27.63,117100,27.63
2014-12-15,28.64,28.78,27.59,27.73,277300,27.73
2014-12-12,28.71,29.05,27.80,28.60,138600,28.60
2014-12-11,29.00,29.79,27.71,28.96,207600,28.96
2014-12-10,29.95,30.81,28.68,28.77,319200,28.77
2014-12-09,28.93,30.00,28.68,29.96,186000,29.96
2014-12-08,29.51,29.84,28.91,29.14,266200,29.14
2014-12-05,27.90,29.69,27.90,29.56,466500,29.56
2014-12-04,28.00,28.46,27.80,27.92,178900,27.92
2014-12-03,27.37,28.47,27.22,28.08,397400,28.08
2014-12-02,27.15,27.60,27.02,27.34,320100,27.34
2014-12-01,27.27,27.46,26.80,27.06,249000,27.06
2014-11-28,27.34,27.50,26.94,26.97,154000,26.97
2014-11-26,27.32,27.73,27.31,27.41,232900,27.41
2014-11-25,27.20,27.50,26.98,27.34,300300,27.34
2014-11-24,27.20,27.28,26.93,27.18,253200,27.18
2014-11-21,27.30,27.37,26.84,27.14,456500,27.14
2014-11-20,26.58,27.34,26.25,27.28,264400,27.28
2014-11-19,26.55,26.85,26.13,26.68,181100,26.68
2014-11-18,26.75,27.25,25.98,26.48,444200,26.48
2014-11-17,27.29,27.74,26.54,26.56,463100,26.56
2014-11-14,27.39,27.60,27.17,27.50,318200,27.50
2014-11-13,27.65,28.00,27.24,27.45,411200,27.45
2014-11-12,27.05,27.95,27.05,27.65,418300,27.65
2014-11-11,27.67,27.70,27.12,27.34,414400,27.34
2014-11-10,27.61,28.11,27.39,27.77,351300,27.77
2014-11-07,27.16,28.20,27.00,27.96,444100,27.96
2014-11-06,26.25,27.25,26.21,27.09,861700,27.09
2014-11-05,23.10,26.12,23.01,25.92,1689200,25.92
2014-11-04,22.25,22.64,21.99,22.01,189500,22.01
2014-11-03,22.55,22.94,22.18,22.29,186300,22.29
2014-10-31,22.32,23.06,22.11,22.90,265000,22.90
2014-10-30,21.86,21.93,21.54,21.88,165400,21.88
2014-10-29,21.81,21.90,21.63,21.87,169600,21.87
2014-10-28,20.55,21.91,20.55,21.86,395000,21.86
2014-10-27,20.40,20.54,19.95,20.39,107300,20.39
2014-10-24,20.33,20.66,19.90,20.44,208600,20.44
2014-10-23,20.43,20.43,20.07,20.24,259800,20.24
2014-10-22,20.27,20.51,20.04,20.18,331100,20.18
2014-10-21,20.60,20.67,20.09,20.30,191400,20.30
2014-10-20,20.00,20.52,19.92,20.51,287200,20.51
2014-10-17,20.52,20.52,19.64,20.12,510000,20.12
2014-10-16,19.66,20.63,19.66,20.24,165600,20.24
2014-10-15,19.55,20.12,19.12,19.97,227700,19.97
2014-10-14,19.97,20.22,19.72,19.76,305700,19.76
2014-10-13,19.89,20.27,19.70,19.74,224800,19.74
2014-10-10,19.94,20.23,19.70,19.84,321200,19.84
2014-10-09,20.41,20.47,19.89,20.01,194600,20.01
2014-10-08,20.25,20.66,19.97,20.48,339900,20.48
